unique_id,date,architecture_name,dataset_name,variant_name,seed,hyperparameters_summary,parameter_count,model_size_megabytes,real_time_factor,mel_error,pesq,stoi,interpretation_notes
hifigan_v1_project_trained_reproduction_train_seed1234_hifigan_v1_full_bf16bs32_20260704_0347,2026-07-04,hifigan_v1,ljspeech,v1,1234,stage=train;hardware=nvidia_l40s;precision=bf16-mixed;batch_size=32;epochs=641;steps=254790;maximum_epochs=641;final_global_step=249990;executed_updates=254790;sample_rate=22050;partition=ordered_identifier_holdout,13936130,53.16211700439453,,,,,Accepted two-gate from-scratch training execution; evaluated durable state selected
hifigan_v1_project_trained_reproduction_test_seed42_hifigan_v1_gate2_test_20260704_1720,2026-07-04,hifigan_v1,ljspeech,v1,42,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;sample_rate=22050;partition=ordered_identifier_holdout;checkpoint_step=245000,13936130,53.16211700439453,0.10325407479072796,0.27040036141872403,3.3172681790306453,0.9747996834160686,Accepted full-test execution
hifigan_v1_project_trained_reproduction_test_seed43_hifigan_v1_final_seed43_test_20260706_2154,2026-07-06,hifigan_v1,ljspeech,v1,43,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;sample_rate=22050;partition=ordered_identifier_holdout;checkpoint_step=245000,13936130,53.16211700439453,0.15675407174470715,0.27040000381923857,3.3169370683034263,0.9747997116739754,Accepted full-test execution
hifigan_v1_project_trained_reproduction_test_seed44_hifigan_v1_final_seed44_test_20260706_2158,2026-07-06,hifigan_v1,ljspeech,v1,44,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;sample_rate=22050;partition=ordered_identifier_holdout;checkpoint_step=245000,13936130,53.16211700439453,0.09921263719939101,0.2704001651491438,3.3169046883356,0.9747997525999884,Accepted full-test execution
