unique_id,date,architecture_name,dataset_name,variant_name,seed,hyperparameters_summary,parameter_count,model_size_megabytes,real_time_factor,mel_error,pesq,stoi,interpretation_notes
apnet2_project_trained_reproduction_train_seed1234_apnet2_full_bf16bs32_20260704_1005,2026-07-04,apnet2,ljspeech,redmist328_ljspeech,1234,stage=train;hardware=nvidia_l40s;precision=bf16-mixed;batch_size=32;epochs=320;steps=124800;partition=ordered_identifier_holdout,31425539,119.8789176940918,,,,,Accepted from-scratch training execution; selected validation state used for evaluation
apnet2_project_trained_reproduction_test_seed42_apnet2_gate1_test_20260704_1305,2026-07-04,apnet2,ljspeech,redmist328_ljspeech,42,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;partition=ordered_identifier_holdout;checkpoint_step=120000,31425539,119.8789176940918,0.008688739030550138,0.5433823005719618,2.541039272413387,0.9300446572224126,Accepted full-test execution
apnet2_project_trained_reproduction_test_seed43_apnet2_final_seed43_test_20260706_2207,2026-07-06,apnet2,ljspeech,redmist328_ljspeech,43,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;partition=ordered_identifier_holdout;checkpoint_step=120000,31425539,119.8789176940918,0.009359669744492177,0.5433822915409551,2.5410393451129916,0.9300446578976371,Accepted full-test execution
apnet2_project_trained_reproduction_test_seed44_apnet2_final_seed44_test_20260706_2207,2026-07-06,apnet2,ljspeech,redmist328_ljspeech,44,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;partition=ordered_identifier_holdout;checkpoint_step=120000,31425539,119.8789176940918,0.010303499863104875,0.5433822915409551,2.5410393451129916,0.9300446578976371,Accepted full-test execution
