step,time_unix,learning_rate_discriminator,learning_rate_generator,runtime/checkpoint_save_time_ms,runtime/checkpoint_size_mb,train_discriminator_loss,train_discriminator_loss_period,train_discriminator_loss_resolution,train_discriminator_loss_total,train_generator_loss,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_resolution,train_generator_loss_mel,train_generator_loss_period_adversarial,train_generator_loss_resolution_adversarial,train_generator_loss_total,train_loss,val_loss,val_validation_loss_mel,val_validation_loss_total
0,1783411137.1376882,,,,,,,,,,,,,,,,,41.05865463256836,0.9124145495891571,41.05865463256836
5,1783411179.250133,4.999999995049369e-05,4.999999995049369e-05,,,0.6913086175918579,0.6322265863418579,0.5908203125,0.6913086175918579,50.297454833984375,6.307949542999268,8.44219970703125,0.8587609529495239,4.018750190734863,4.8229169845581055,50.297454833984375,50.297454833984375,,,
10,1783411179.929353,4.9999999801974745e-05,4.9999999801974745e-05,,,0.5049804449081421,0.4605468809604645,0.4443359375,0.5049804449081421,47.048274993896484,7.139041900634766,8.970705032348633,0.7665433883666992,4.046875,4.708333492279053,47.048274993896484,47.048274993896484,,,
15,1783411180.608956,4.9999999554443176e-05,4.9999999554443176e-05,,,0.48512372374534607,0.44990235567092896,0.3522135615348816,0.48512372374534607,42.84955596923828,6.600295543670654,10.10905647277832,0.6889078617095947,3.721874952316284,5.15625,42.84955596923828,42.84955596923828,,,
20,1783411181.2867868,4.999999920789898e-05,4.999999920789898e-05,,,0.3347981870174408,0.30742189288139343,0.2737630307674408,0.3347981870174408,42.55205154418945,7.587673187255859,9.961673736572266,0.6507982015609741,4.1875,4.9479169845581055,42.55205154418945,42.55205154418945,,,
25,1783411181.9649193,4.9999998762342145e-05,4.9999998762342145e-05,,,0.33702799677848816,0.30976563692092896,0.2726237177848816,0.33702799677848816,39.94736099243164,7.893527507781982,9.88650131225586,0.5859161019325256,4.190625190734863,5.083333492279053,39.94736099243164,39.94736099243164,,,
30,1783411182.6474798,4.999999821777269e-05,4.999999821777269e-05,,,0.40869140625,0.38447266817092896,0.2421875,0.40869140625,37.4351806640625,7.32924222946167,12.303561210632324,0.5457073450088501,3.659374952316284,6.59375,37.4351806640625,37.4351806640625,,,
35,1783411183.3304617,4.99999975741906e-05,4.99999975741906e-05,,,0.3086751103401184,0.2865234315395355,0.2215169370174408,0.3086751103401184,35.03919982910156,7.399036407470703,10.807563781738281,0.4976164698600769,3.609375,5.5729169845581055,35.03919982910156,35.03919982910156,,,
40,1783411184.011104,4.999999683159589e-05,4.999999683159589e-05,,,0.33826497197151184,0.3173828125,0.2088216245174408,0.33826497197151184,34.520599365234375,7.340311527252197,12.414934158325195,0.47938066720962524,3.690624952316284,6.7604169845581055,34.520599365234375,34.520599365234375,,,
45,1783411184.6890016,4.999999598998858e-05,4.999999598998858e-05,,,0.33740234375,0.3173828125,0.2001953125,0.33740234375,34.04923629760742,7.700683116912842,11.669917106628418,0.46007636189460754,3.856250047683716,6.21875,34.04923629760742,34.04923629760742,,,
50,1783411185.370175,4.999999504936864e-05,4.999999504936864e-05,,,0.31405436992645264,0.29594728350639343,0.1810709685087204,0.31405436992645264,34.26913833618164,8.273050308227539,13.540605545043945,0.44604969024658203,3.8500001430511475,7.1979169845581055,34.26913833618164,34.26913833618164,,,
55,1783411186.0536714,4.999999400973608e-05,4.999999400973608e-05,,,0.3579508364200592,0.341796875,0.1615397185087204,0.3579508364200592,32.73887634277344,7.643260478973389,12.51279067993164,0.4326750338077545,3.700000047683716,6.739583492279053,32.73887634277344,32.73887634277344,,,
60,1783411186.734528,4.999999287109091e-05,4.999999287109091e-05,,,0.2990071773529053,0.2842773497104645,0.1472981870174408,0.2990071773529053,33.099029541015625,8.3408842086792,13.706687927246094,0.419258713722229,3.784374952316284,7.364583492279053,33.099029541015625,33.099029541015625,,,
65,1783411187.416049,4.999999163343316e-05,4.999999163343316e-05,,,0.31511229276657104,0.29931640625,0.157958984375,0.31511229276657104,33.01536560058594,8.600523948669434,14.71798324584961,0.41040095686912537,3.71875,7.5625,33.01536560058594,33.01536560058594,,,
70,1783411188.0932622,4.9999990296762806e-05,4.9999990296762806e-05,,,0.28251954913139343,0.26689454913139343,0.15625,0.28251954913139343,32.572021484375,8.594929695129395,12.818328857421875,0.40443170070648193,3.8687500953674316,6.270833492279053,32.572021484375,32.572021484375,,,
75,1783411188.7748833,4.999998886107985e-05,4.999998886107985e-05,,,0.28103840351104736,0.2655273377895355,0.1551106870174408,0.28103840351104736,32.24709701538086,8.605473518371582,14.116331100463867,0.39515721797943115,3.753124952316284,6.9479169845581055,32.24709701538086,32.24709701538086,,,
80,1783411189.4549704,4.9999987326384326e-05,4.9999987326384326e-05,,,0.2704915404319763,0.255615234375,0.1487630307674408,0.2704915404319763,32.43814468383789,9.143465995788574,15.020589828491211,0.3819887638092041,3.84375,7.59375,32.43814468383789,32.43814468383789,,,
85,1783411190.1333747,4.999998569267621e-05,4.999998569267621e-05,,,0.3323811888694763,0.3167968690395355,0.1558431088924408,0.3323811888694763,31.403621673583984,8.373310089111328,13.752626419067383,0.38219553232192993,3.746875047683716,7.09375,31.403621673583984,31.403621673583984,,,
90,1783411190.8104706,4.999998395995552e-05,4.999998395995552e-05,,,0.2861328125,0.2703613340854645,0.15771484375,0.2861328125,31.82672119140625,8.725214958190918,13.580678939819336,0.38064125180244446,3.9312500953674316,6.833333492279053,31.82672119140625,31.82672119140625,,,
95,1783411191.492311,4.999998212822226e-05,4.999998212822226e-05,,,0.3506835997104645,0.3346191346645355,0.16064453125,0.3506835997104645,30.798383712768555,8.288969993591309,12.972601890563965,0.3746219277381897,3.7281250953674316,6.2604169845581055,30.798383712768555,30.798383712768555,,,
100,1783411192.1722806,4.999998019747644e-05,4.999998019747644e-05,,,0.2816569209098816,0.26494142413139343,0.1671549528837204,0.2816569209098816,31.24026870727539,8.63217830657959,13.629362106323242,0.3714895248413086,3.846874952316284,6.8125,31.24026870727539,31.24026870727539,,,
