step,split,time_unix,learning_rate_generator,learning_rate_discriminator,train_loss,train_generator_loss,train_generator_loss_total,train_generator_loss_period_adversarial,train_generator_loss_resolution_adversarial,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_resolution,train_generator_loss_mel,train_discriminator_loss,train_discriminator_loss_total,train_discriminator_loss_period,train_discriminator_loss_resolution,val_loss,val_validation_loss_total,val_validation_loss_mel
0,validation,1783138413.4367902,,,,,,,,,,,,,,,100.36062622070312,100.36062622070312,2.2302361726760864
5,train,1783138432.8294291,0.0004999999995049369,0.0004999999995049369,68.16195678710938,68.16195678710938,68.16195678710938,0.829296886920929,1.453125,0.24748574197292328,3.896348714828491,1.4788938760757446,2.0830729007720947,2.0830729007720947,1.896093726158142,1.8697917461395264,,,
10,train,1783138433.5042193,0.0004999999980197475,0.0004999999980197475,52.69255447387695,52.69255447387695,52.69255447387695,1.451562523841858,1.4296875,0.4011164605617523,5.670809745788574,1.113996148109436,2.490018129348755,2.490018129348755,2.3006951808929443,1.8932292461395264,,,
15,train,1783138434.1806777,0.0004999999955444316,0.0004999999955444316,46.82658004760742,46.82658004760742,46.82658004760742,0.958203136920929,1.5651042461395264,0.33769652247428894,12.130334854125977,0.9813585877418518,1.9592448472976685,1.9592448472976685,1.783203125,1.7604167461395264,,,
20,train,1783138434.8526142,0.0004999999920789896,0.0004999999920789896,42.883846282958984,42.883846282958984,42.883846282958984,0.891406238079071,1.9244792461395264,0.3944210708141327,13.58142375946045,0.8899428844451904,1.9666666984558105,1.9666666984558105,1.8132812976837158,1.5338542461395264,,,
25,train,1783138435.5296423,0.0004999999876234213,0.0004999999876234213,41.98286819458008,41.98286819458008,41.98286819458008,0.87890625,2.9114584922790527,0.33135318756103516,17.618839263916016,0.8604350686073303,2.0242838859558105,2.0242838859558105,1.8937500715255737,1.3053386211395264,,,
30,train,1783138436.2061634,0.0004999999821777267,0.0004999999821777267,41.32006072998047,41.32006072998047,41.32006072998047,1.3289062976837158,3.6145834922790527,0.38533324003219604,20.47812271118164,0.8265900015830994,1.90234375,1.90234375,1.7890625,1.1328125,,,
35,train,1783138436.8810265,0.0004999999757419059,0.0004999999757419059,39.703792572021484,39.703792572021484,39.703792572021484,0.946093738079071,4.1197919845581055,0.24197912216186523,22.778377532958984,0.7961311340332031,2.021256446838379,2.021256446838379,1.919531226158142,1.0172526836395264,,,
40,train,1783138437.5540695,0.0004999999683159589,0.0004999999683159589,37.11834716796875,37.11834716796875,37.11834716796875,1.0476562976837158,5.25,0.34133997559547424,28.860328674316406,0.7181848287582397,1.9156900644302368,1.9156900644302368,1.828125,0.8756510615348816,,,
45,train,1783138438.2305183,0.0004999999598998856,0.0004999999598998856,37.57771301269531,37.57771301269531,37.57771301269531,1.19921875,5.9375,0.2863205075263977,30.364011764526367,0.7213782072067261,1.9368815422058105,1.9368815422058105,1.84765625,0.8922526240348816,,,
50,train,1783138438.9464061,0.0004999999504936862,0.0004999999504936862,35.23810577392578,35.23810577392578,35.23810577392578,0.90625,6.864583492279053,0.25467386841773987,36.497310638427734,0.660910964012146,1.9448567628860474,1.9448567628860474,1.869531273841858,0.7532552480697632,,,
55,train,1783138439.6197371,0.0004999999400973606,0.0004999999400973606,37.30730438232422,37.30730438232422,37.30730438232422,1.427343726158142,6.203125,0.32199200987815857,34.58695983886719,0.6995324492454529,1.9296876192092896,1.9296876192092896,1.8527344465255737,0.76953125,,,
60,train,1783138440.2942946,0.000499999928710909,0.000499999928710909,35.92844772338867,35.92844772338867,35.92844772338867,1.2609375715255737,7.4375,0.41646987199783325,38.002777099609375,0.6601558327674866,1.8173013925552368,1.8173013925552368,1.751562476158142,0.6573893427848816,,,
65,train,1783138440.9710538,0.0004999999163343313,0.0004999999163343313,35.28465270996094,35.28465270996094,35.28465270996094,1.337499976158142,6.630208492279053,0.49582144618034363,35.898292541503906,0.6488551497459412,1.7870442867279053,1.7870442867279053,1.7158203125,0.7122396230697632,,,
70,train,1783138441.6497736,0.0004999999029676279,0.0004999999029676279,33.78911209106445,33.78911209106445,33.78911209106445,1.3171875476837158,6.40625,0.4799186885356903,31.129131317138672,0.6275214552879333,1.7812012434005737,1.7812012434005737,1.7140625715255737,0.67138671875,,,
75,train,1783138442.3288345,0.0004999998886107983,0.0004999998886107983,33.10068130493164,33.10068130493164,33.10068130493164,1.381250023841858,6.880208492279053,0.579801619052887,31.893230438232422,0.605828583240509,1.7029622793197632,1.7029622793197632,1.638671875,0.6429036855697632,,,
80,train,1783138443.0036561,0.000499999873263843,0.000499999873263843,32.984493255615234,32.984493255615234,32.984493255615234,1.240625023841858,6.890625,0.7807387709617615,32.36139678955078,0.6008428335189819,1.6112630367279053,1.6112630367279053,1.548828125,0.6243489980697632,,,
