unique_id,date,architecture_name,dataset_name,variant_name,seed,hyperparameters_summary,parameter_count,model_size_megabytes,real_time_factor,mel_error,pesq,stoi,interpretation_notes
rfwave_project_trained_reproduction_train_seed1234_rfwave_full_bf16bs64_20260707_2110,2026-07-07,rfwave,ljspeech,project_trained_bfs18_24khz_ljspeech,1234,stage=train;hardware=nvidia_a100_80gb;precision=bf16-mixed;batch_size=64;epochs=641;steps=124995;partition=ordered_identifier_holdout,18139296,69.20752334594727,,,,,Accepted random-initialized published-architecture reimplementation; evaluated durable state selected
rfwave_project_trained_reproduction_test_seed42_rfwave_gate1b_test_20260708_0505,2026-07-08,rfwave,ljspeech,project_trained_bfs18_24khz_ljspeech,42,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;partition=ordered_identifier_holdout;checkpoint_step=120000,18139296,69.20752334594727,0.014322129551883552,3.8377119049881445,3.6668561464978824,0.98080754559011,Accepted full-test execution
rfwave_project_trained_reproduction_test_seed43_rfwave_final_seed43_test_20260708_0525,2026-07-08,rfwave,ljspeech,project_trained_bfs18_24khz_ljspeech,43,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;partition=ordered_identifier_holdout;checkpoint_step=120000,18139296,69.20752334594727,0.01504189412991743,3.837651577862826,3.6700623770415923,0.9809193937752818,Accepted full-test execution
rfwave_project_trained_reproduction_test_seed44_rfwave_final_seed44_test_20260708_0525,2026-07-08,rfwave,ljspeech,project_trained_bfs18_24khz_ljspeech,44,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;partition=ordered_identifier_holdout;checkpoint_step=120000,18139296,69.20752334594727,0.015065603885937381,3.8374235268795127,3.670715054744607,0.9807017560640533,Accepted full-test execution
