step,time_unix,split,train_loss,train_magnitude_loss,train_overlap_loss,train_rectified_flow_loss,val_loss,val_magnitude_loss,val_overlap_loss,val_rectified_flow_loss
0,1783448618.0263846,validation,,,,,7.125415563583374,31.034953117370605,1.5940776467323303,6.79912543296814
10,1783448630.7975297,train,6.978614807128906,30.713119506835938,1.6352994441986084,6.655130386352539,,,,
20,1783448632.900665,train,6.900242328643799,30.02245330810547,1.6297709941864014,6.5837202072143555,,,,
30,1783448635.0108519,train,6.869466781616211,27.570629119873047,1.6872127056121826,6.576888561248779,,,,
40,1783448637.154476,train,6.860414505004883,27.941204071044922,1.6714847087860107,6.5642876625061035,,,,
50,1783448639.295778,train,6.726965427398682,26.349651336669922,1.637255311012268,6.447096347808838,,,,
60,1783448641.4079862,train,6.669945240020752,23.879013061523438,1.624535083770752,6.414909839630127,,,,
70,1783448643.513734,train,6.607778549194336,24.584558486938477,1.5460429191589355,6.34647274017334,,,,
80,1783448645.6249304,train,6.508014678955078,23.139192581176758,1.5669020414352417,6.260953903198242,,,,
90,1783448647.7337003,train,6.40845251083374,21.89258575439453,1.5320429801940918,6.174206256866455,,,,
100,1783448649.8785758,train,6.337858200073242,22.089365005493164,1.4410291910171509,6.1025543212890625,,,,
110,1783448651.9947274,train,6.28151798248291,21.443130493164062,1.4308762550354004,6.0527777671813965,,,,
120,1783448654.111428,train,6.237191200256348,20.587745666503906,1.4293153285980225,6.0170207023620605,,,,
130,1783448656.2264588,train,6.151515483856201,19.500160217285156,1.3392271995544434,5.943121433258057,,,,
140,1783448658.340052,train,6.1132001876831055,18.878137588500977,1.343263030052185,5.910985946655273,,,,
150,1783448660.4942305,train,6.080706596374512,18.332168579101562,1.290826439857483,5.884476661682129,,,,
160,1783448662.608049,train,6.006382465362549,17.278226852416992,1.2393174171447754,5.821207046508789,,,,
170,1783448664.726795,train,5.9782185554504395,16.464975357055664,1.1782400608062744,5.801786422729492,,,,
180,1783448666.8435037,train,5.933674335479736,15.942276000976562,1.1813913583755493,5.76243782043457,,,,
190,1783448668.9511619,train,5.89739990234375,15.060518264770508,1.1369283199310303,5.7354254722595215,,,,
200,1783448671.765906,train,5.877160549163818,15.05806827545166,1.0867080688476562,5.715713024139404,,,,
210,1783448673.87986,train,5.852242469787598,14.537293434143066,1.0214037895202637,5.6966552734375,,,,
220,1783448675.9993014,train,5.813578128814697,14.10671615600586,0.9930286407470703,5.662580490112305,,,,
230,1783448678.1188526,train,5.782588481903076,13.914901733398438,0.9477356672286987,5.633962154388428,,,,
240,1783448680.2406924,train,5.748213291168213,13.115874290466309,0.8948196172714233,5.6081061363220215,,,,
250,1783448682.395902,train,5.731271266937256,12.537839889526367,0.8749549388885498,5.597143173217773,,,,
260,1783448684.51649,train,5.714542865753174,11.977746963500977,0.8210957050323486,5.586554527282715,,,,
270,1783448686.6376143,train,5.691950798034668,11.78792953491211,0.7596938610076904,5.566474437713623,,,,
280,1783448688.7583687,train,5.669442653656006,11.581818580627441,0.7273188829421997,5.546351432800293,,,,
290,1783448690.8808396,train,5.650772571563721,10.983598709106445,0.7043591737747192,5.53389310836792,,,,
300,1783448693.0348346,train,5.623051643371582,10.706644058227539,0.6405203342437744,5.509580135345459,,,,
310,1783448695.157999,train,5.620937824249268,10.059995651245117,0.6174039840698242,5.514163970947266,,,,
320,1783448697.2770693,train,5.601659297943115,9.980409622192383,0.5886342525482178,5.495968818664551,,,,
330,1783448699.4000218,train,5.5841803550720215,9.722216606140137,0.5328460335731506,5.481629848480225,,,,
340,1783448701.524001,train,5.575806140899658,9.254150390625,0.5123610496520996,5.478140830993652,,,,
350,1783448703.6860056,train,5.557302474975586,9.051151275634766,0.4620647430419922,5.462170124053955,,,,
360,1783448705.804724,train,5.541263103485107,9.033974647521973,0.46511685848236084,5.446272373199463,,,,
