architecture_name,variant_name,lane,baseline_variant,evaluation_seeds,seed_count,test_utterances,pesq,stoi,mel_error,multi_resolution_stft_error,mcd,utmos_strong,real_time_factor,latency_p50_ms,latency_p95_ms,peak_host_memory_megabytes,session_build_seconds,deployable_size_megabytes,baseline_pesq,pesq_delta,rtf_speedup,size_ratio,classification,classification_basis
apnet2,baseline_b200,b200,baseline_b200,42|43|44,3,525,2.5813219977182054,0.9300289086472441,0.3564084558070652,1.1769309866617597,9.861039643722924,3.10482949060107,0.0005770558370174482,3.6503239472707114,4.311006387074788,7194.764322916667,,119.93691539764404,2.5813219977182054,0.0,1.0,1.0,denominator,Same-lane identity denominator.
apnet2,baseline_cpu,cpu,baseline_cpu,42|43|44,3,525,2.5801604174810744,0.9300273161019339,0.3563748355706533,1.1753156985176934,9.860419552801416,3.105249482412187,0.01599325127384649,106.67844136555989,141.87769571940103,9833.701822916666,,119.93459606170654,2.5801604174810744,0.0,1.0,1.0,denominator,Same-lane identity denominator.
apnet2,fp16_weights,b200,baseline_b200,42|43|44,3,525,2.5799394775572275,0.9300328846265614,0.3562903998768519,1.176779939333598,9.860131119943553,3.1048727215660943,0.0005320490155767001,3.298649311065674,4.18313988049825,10586.045572916666,,60.00008678436279,2.5813219977182054,-0.0013825201609778404,1.084591494623788,0.5002637143487967,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
apnet2,int8_dynamic,cpu,baseline_cpu,42|43|44,3,525,2.584163503419785,0.9222689274140227,0.4178063516389756,1.2858942976452055,13.708117857808041,3.048795867193313,0.011291444491658547,76.39779663085938,95.05525970458984,9791.9140625,,47.95662975311279,2.5801604174810744,0.004003085938710793,1.4164043657710368,0.3998565162002049,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
apnet2,pruned_50,b200,baseline_b200,42|43|44,3,525,1.1963652999060495,0.8208309275610329,2.681462212971278,5.532610712505523,61.78124412881467,1.3123963421110123,0.0006914301569062309,4.299883206685384,5.729552110036214,8637.704427083334,,119.9369764328003,2.5813219977182054,-1.384956697812156,0.8345829745110558,1.0000005088938302,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
apnet2,torch_compile,b200,baseline_b200,42|43|44,3,525,2.5813221120077467,0.9300289045656766,0.3564085181554158,1.176931072492448,9.86103984547526,3.1048288077399846,0.0004634284059129835,2.839907248814901,3.722593069076538,8029.305989583333,,119.93984508514404,2.5813219977182054,1.1428954138636982e-07,1.245188749016391,1.000024426903846,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
bigvgan,baseline_b200,b200,baseline_b200,42|43|44,3,525,3.320105934748574,0.9736799619485123,0.24617151761811876,0.9940412095614842,10.146414306654533,4.062247907850478,0.005417591279926178,35.42607879638672,49.94015757242838,7085.395833333333,,53.708651542663574,3.320105934748574,0.0,1.0,1.0,denominator,Same-lane identity denominator.
bigvgan,baseline_cpu,cpu,baseline_cpu,42|43|44,3,525,3.3207955060686385,0.9736769608157151,0.24623067378997807,0.9941283518927438,10.148558181377638,4.061810559318179,0.3855756058841744,2436.7306315104165,4272.174641927083,14772.108072916666,,53.701632499694824,3.3207955060686385,0.0,1.0,1.0,denominator,Same-lane identity denominator.
bigvgan,fp16_weights,b200,baseline_b200,42|43|44,3,525,3.3184080720326254,0.9736592819354627,0.23940214762611997,0.9795738806800237,9.788751323923316,4.060923192009093,0.005366286061874022,35.799659729003906,46.743475596110024,8832.087239583334,,26.968600273132324,3.320105934748574,-0.0016978627159485171,1.0095606565622108,0.502127674006296,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
bigvgan,pruned_30,b200,baseline_b200,42|43|44,3,525,3.1721143312302846,0.9698678327605049,0.34975090634255185,1.1167714274118818,18.005085932184937,3.988540260829623,0.0058595047094562105,37.998610178629555,58.92744700113932,8747.123697916666,,53.708651542663574,3.320105934748574,-0.14799160351828933,0.9245817775661377,1.0,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
bigvgan,pruned_50,b200,baseline_b200,42|43|44,3,525,2.1712897125123036,0.948631651673956,0.7167668440228416,1.6448282443152535,31.733739214378186,3.4054103017231774,0.005415168076246979,36.211107889811196,48.978556315104164,8742.576822916666,,53.708651542663574,3.320105934748574,-1.1488162222362703,1.0004474844815672,1.0,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
bigvgan,pruned_50_recovered,b200,baseline_b200,42|43|44,3,525,3.336665703455607,0.9747927161620221,0.22523798617105636,0.9704291687692915,9.169907143534234,4.0721345674423945,0.005472060406124114,36.19487380981445,50.076333363850914,8703.67578125,,53.708651542663574,3.320105934748574,0.01655976870703313,0.9900459567045392,1.0,inconclusive,Dense masked tensors do not establish deployable acceleration or storage reduction even when objective quality is retained.
