step,split,time_unix,learning_rate_generator,learning_rate_discriminator,train_loss,train_generator_loss,train_generator_loss_total,train_generator_loss_adversarial_period,train_generator_loss_adversarial_scale,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_scale,train_generator_loss_mel,train_discriminator_loss,train_discriminator_loss_total,train_discriminator_loss_period,train_discriminator_loss_scale,val_loss,val_mel_l1
0,validation,1783134323.5052843,,,,,,,,,,,,,,,1.861530840396881,1.861530840396881
5,train,1783134339.9866865,,,71.25311279296875,71.25311279296875,71.25311279296875,1.3275461196899414,0.5412207841873169,0.20960287749767303,0.09049707651138306,1.5285366773605347,4.491194725036621,4.491194725036621,2.8941750526428223,1.5970194339752197,,
10,train,1783134340.7004457,,,72.811767578125,72.811767578125,72.811767578125,1.2148927450180054,0.9339067935943604,0.217702716588974,0.07927793264389038,1.55708909034729,4.131720542907715,4.131720542907715,2.5651092529296875,1.5666112899780273,,
15,train,1783134341.4145172,,,63.655487060546875,63.655487060546875,63.655487060546875,1.515856385231018,0.7589091658592224,0.33138203620910645,0.1003151461482048,1.3448294401168823,3.97648286819458,3.97648286819458,2.4570560455322266,1.519426703453064,,
20,train,1783134342.125734,,,66.73680114746094,66.73680114746094,66.73680114746094,1.4275834560394287,0.7925534248352051,0.5282379388809204,0.1502891480922699,1.403546929359436,3.781966209411621,3.781966209411621,2.3025190830230713,1.4794472455978394,,
25,train,1783134342.8302715,,,67.34527587890625,67.34527587890625,67.34527587890625,1.9475562572479248,1.0132837295532227,1.3767304420471191,0.7448016405105591,1.3364750146865845,3.14583683013916,3.14583683013916,1.895537257194519,1.2502995729446411,,
30,train,1783134343.5346916,,,65.64630889892578,65.64630889892578,65.64630889892578,2.0811004638671875,1.3595144748687744,2.0215871334075928,0.9931665658950806,1.2483597993850708,2.8949296474456787,2.8949296474456787,1.6022393703460693,1.2926902770996094,,
35,train,1783134344.2400982,,,64.32904815673828,64.32904815673828,64.32904815673828,2.2529892921447754,1.4601459503173828,2.0464587211608887,0.7274014949798584,1.2237375974655151,3.10536527633667,3.10536527633667,1.7327955961227417,1.3725695610046387,,
40,train,1783134344.94579,,,66.19143676757812,66.19143676757812,66.19143676757812,2.429584503173828,1.2397680282592773,1.8627128601074219,0.9798952341079712,1.2630414962768555,3.003537654876709,3.003537654876709,1.8639923334121704,1.1395454406738281,,
45,train,1783134345.6511295,,,62.874942779541016,62.874942779541016,62.874942779541016,2.1577720642089844,1.4345486164093018,1.864058017730713,1.2298799753189087,1.179883360862732,2.536895990371704,2.536895990371704,1.5672636032104492,0.9696323871612549,,
50,train,1783134346.3890615,,,61.73310470581055,61.73310470581055,61.73310470581055,2.412088632583618,1.5094544887542725,2.396411180496216,1.2660200595855713,1.1219266653060913,2.4912099838256836,2.4912099838256836,1.4992667436599731,0.9919432401657104,,
55,train,1783134347.0892782,,,60.214019775390625,60.214019775390625,60.214019775390625,1.8036112785339355,1.180993914604187,2.136425018310547,1.1258320808410645,1.1267756223678589,2.5648245811462402,2.5648245811462402,1.6322277784347534,0.9325968027114868,,
60,train,1783134347.7938962,,,62.98976135253906,62.98976135253906,62.98976135253906,2.019937515258789,1.6930673122406006,2.3686771392822266,1.7862520217895508,1.132597804069519,2.2105002403259277,2.2105002403259277,1.434873104095459,0.7756271362304688,,
65,train,1783134348.4982758,,,64.38423919677734,64.38423919677734,64.38423919677734,2.2052931785583496,1.9386422634124756,2.3322253227233887,1.4929070472717285,1.1686675548553467,2.8088622093200684,2.8088622093200684,1.7488082647323608,1.060054063796997,,
70,train,1783134349.2011113,,,64.5290298461914,64.5290298461914,64.5290298461914,2.7455837726593018,1.913017749786377,2.9061577320098877,2.1345348358154297,1.106423258781433,1.830463171005249,1.830463171005249,1.25139582157135,0.5790673494338989,,
75,train,1783134349.9008372,,,67.47840881347656,67.47840881347656,67.47840881347656,2.7598395347595215,1.9145750999450684,2.473658800125122,2.2513413429260254,1.1856443881988525,2.0861454010009766,2.0861454010009766,1.4755162000656128,0.6106290817260742,,
80,train,1783134350.606046,,,64.24185180664062,64.24185180664062,64.24185180664062,2.4484329223632812,2.2295236587524414,2.5649735927581787,2.488135814666748,1.0990594625473022,1.757501482963562,1.757501482963562,1.317000389099121,0.4405011236667633,,
85,train,1783134351.3371341,,,63.589927673339844,63.589927673339844,63.589927673339844,3.057570219039917,2.1082756519317627,2.776646137237549,2.453012228012085,1.0658836364746094,1.7325263023376465,1.7325263023376465,1.3049650192260742,0.4275612533092499,,
90,train,1783134352.058605,,,62.61647415161133,62.61647415161133,62.61647415161133,3.3507564067840576,2.427334785461426,2.857189178466797,2.5071587562561035,1.0246597528457642,1.6940120458602905,1.6940120458602905,1.2471964359283447,0.4468156099319458,,
95,train,1783134352.7674887,,,65.38127136230469,65.38127136230469,65.38127136230469,3.037165880203247,2.4250619411468506,3.022413969039917,2.5673139095306396,1.0831018686294556,1.82830011844635,1.82830011844635,1.32705557346344,0.5012445449829102,,
100,train,1783134353.5180032,,,61.25535202026367,61.25535202026367,61.25535202026367,3.1707496643066406,2.260344982147217,3.05549693107605,2.5572733879089355,0.9910826086997986,1.4510440826416016,1.4510440826416016,1.1246105432510376,0.32643359899520874,,
105,train,1783134354.2279348,,,62.42542266845703,62.42542266845703,62.42542266845703,2.6040263175964355,2.321810245513916,2.7801811695098877,2.7447967529296875,1.0322140455245972,1.7150839567184448,1.7150839567184448,1.4446595907211304,0.27042436599731445,,
