unique_id,date,architecture_name,dataset_name,variant_name,seed,hyperparameters_summary,parameter_count,model_size_megabytes,real_time_factor,mel_error,pesq,stoi,interpretation_notes
hifigan_v3_project_trained_reproduction_train_seed1234_hifigan_v3_full_bf16bs32_20260704_0520,2026-07-04,hifigan_v3,ljspeech,v3,1234,stage=train;hardware=nvidia_l40s;precision=bf16-mixed;batch_size=32;epochs=641;steps=254790;maximum_epochs=641;final_global_step=249990;executed_updates=254790;sample_rate=22050;partition=ordered_identifier_holdout,1464322,5.585945129394531,,,,,Accepted two-gate from-scratch training execution; evaluated durable state selected
hifigan_v3_project_trained_reproduction_test_seed42_hifigan_v3_gate2_test_20260704_1550,2026-07-04,hifigan_v3,ljspeech,v3,42,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;sample_rate=22050;partition=ordered_identifier_holdout;checkpoint_step=245000,1464322,5.585945129394531,0.051097849307461314,0.3607375190371559,2.576493816148667,0.9519721986783652,Accepted full-test execution
hifigan_v3_project_trained_reproduction_test_seed43_hifigan_v3_final_seed43_test_20260706_2207,2026-07-06,hifigan_v3,ljspeech,v3,43,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;sample_rate=22050;partition=ordered_identifier_holdout;checkpoint_step=245000,1464322,5.585945129394531,0.04945814225838487,0.360737525451751,2.5764858472914924,0.9519722825051092,Accepted full-test execution
hifigan_v3_project_trained_reproduction_test_seed44_hifigan_v3_final_seed44_test_20260706_2207,2026-07-06,hifigan_v3,ljspeech,v3,44,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;sample_rate=22050;partition=ordered_identifier_holdout;checkpoint_step=245000,1464322,5.585945129394531,0.073402150770373,0.3607377647785913,2.576482279641288,0.9519723070420252,Accepted full-test execution
