step,split,time_unix,train_loss,train_generator_loss,train_generator_loss_total,train_generator_loss_adversarial_period,train_generator_loss_adversarial_resolution,train_generator_loss_amplitude,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_resolution,train_generator_loss_mel,train_generator_loss_phase,train_generator_loss_spectrum,train_discriminator_loss,train_discriminator_loss_total,train_discriminator_loss_period,train_discriminator_loss_resolution,val_loss,val_loss_total,val_loss_amplitude,val_loss_mel,val_loss_phase,val_loss_spectrum
0,validation,1783159646.2745483,,,,,,,,,,,,,,,,1205.8840942382812,1205.8840942382812,14.122102737426758,1.0860117673873901,4.718901872634888,2.4814369678497314
5,train,1783159659.045607,1132.8463134765625,1132.8463134765625,1132.8463134765625,4.6328125,3.01171875,14.123196601867676,0.20147770643234253,1.169208288192749,0.7217861413955688,4.268691539764404,1.6350252628326416,10.553125381469727,10.553125381469727,9.9609375,5.921875,,,,,,
10,train,1783159659.391781,919.6017456054688,919.6017456054688,919.6017456054688,4.5078125,2.828125,9.816344261169434,0.728679358959198,2.45036244392395,0.6772405505180359,4.183170795440674,1.1654479503631592,10.158594131469727,10.158594131469727,9.60546875,5.53125,,,,,,
15,train,1783159659.7356603,740.2755126953125,740.2755126953125,740.2755126953125,3.7880859375,3.5,5.911394119262695,1.2361054420471191,5.6971635818481445,0.6344608664512634,4.165363311767578,1.1615920066833496,9.8505859375,9.8505859375,9.3955078125,4.55078125,,,,,,
20,train,1783159660.0820124,595.003662109375,595.003662109375,595.003662109375,7.1953125,5.1484375,2.7903084754943848,0.9154167771339417,15.210186958312988,0.4971204102039337,4.1422929763793945,1.1346722841262817,9.625879287719727,9.625879287719727,9.3251953125,3.0068359375,,,,,,
25,train,1783159660.4292758,578.3114013671875,578.3114013671875,578.3114013671875,7.171875,10.953125,2.1565191745758057,1.9209095239639282,40.57552719116211,0.5064465999603271,4.144089221954346,1.4911680221557617,8.909960746765137,8.909960746765137,8.76171875,1.482421875,,,,,,
30,train,1783159660.7744963,560.52880859375,560.52880859375,560.52880859375,5.5078125,15.953125,1.8437323570251465,2.488882541656494,69.46836853027344,0.48719412088394165,4.127176761627197,1.3190277814865112,8.4659423828125,8.4659423828125,8.353515625,1.124267578125,,,,,,
35,train,1783159661.1203496,568.6900634765625,568.6900634765625,568.6900634765625,7.8046875,20.46875,1.8937489986419678,2.2536473274230957,102.66264343261719,0.4951067566871643,4.127163410186768,1.3051835298538208,8.6953125,8.6953125,8.60888671875,0.8642578125,,,,,,
40,train,1783159661.4665568,541.6524658203125,541.6524658203125,541.6524658203125,6.921875,20.5625,1.4783059358596802,2.383009910583496,94.6056137084961,0.46280086040496826,4.120358467102051,1.072253704071045,8.642138481140137,8.642138481140137,8.541015625,1.01123046875,,,,,,
45,train,1783159661.8133905,535.753173828125,535.753173828125,535.753173828125,7.6484375,20.84375,1.2909499406814575,2.974243640899658,101.75736236572266,0.4548344314098358,4.124591827392578,1.0925469398498535,7.956884860992432,7.956884860992432,7.888671875,0.68212890625,,,,,,
50,train,1783159662.1927457,531.8578491210938,531.8578491210938,531.8578491210938,7.3125,23.03125,1.1800554990768433,2.6498074531555176,103.8526611328125,0.4524839222431183,4.115832805633545,1.2079811096191406,8.512768745422363,8.512768745422363,8.421875,0.908935546875,,,,,,
55,train,1783159662.537797,516.7294311523438,516.7294311523438,516.7294311523438,7.703125,19.4375,1.0135517120361328,3.058669090270996,90.70248413085938,0.4128110706806183,4.113924980163574,0.9687422513961792,8.271924018859863,8.271924018859863,8.1875,0.84423828125,,,,,,
60,train,1783159662.8837154,516.71142578125,516.71142578125,516.71142578125,4.546875,24.5,0.9345381855964661,3.123899459838867,115.75071716308594,0.41547656059265137,4.108841896057129,1.1690372228622437,7.903573989868164,7.903573989868164,7.8125,0.9107398986816406,,,,,,
65,train,1783159663.2304416,512.4138793945312,512.4138793945312,512.4138793945312,6.98046875,23.4375,0.8760705590248108,3.0525259971618652,114.41664123535156,0.39827847480773926,4.091174125671387,1.1066175699234009,8.210986137390137,8.210986137390137,8.126953125,0.84033203125,,,,,,
70,train,1783159663.5776536,527.28759765625,527.28759765625,527.28759765625,7.4921875,31.3125,0.9076242446899414,3.655733823776245,145.2254180908203,0.4172542691230774,4.116709232330322,1.3597726821899414,7.947289943695068,7.947289943695068,7.90234375,0.449462890625,,,,,,
75,train,1783159663.9250178,515.4967041015625,515.4967041015625,515.4967041015625,7.9921875,26.5,0.8573369383811951,2.6679320335388184,124.25238800048828,0.4075186848640442,4.111155986785889,1.0863630771636963,8.251416206359863,8.251416206359863,8.1748046875,0.76611328125,,,,,,
80,train,1783159664.270272,520.568115234375,520.568115234375,520.568115234375,7.8359375,31.1875,0.8690106868743896,3.0902445316314697,139.8432159423828,0.40970227122306824,4.107289791107178,1.2133903503417969,8.209741592407227,8.209741592407227,8.15625,0.534912109375,,,,,,
85,train,1783159664.6166754,521.2886962890625,521.2886962890625,521.2886962890625,7.171875,33.0,0.9062105417251587,3.628403902053833,142.41432189941406,0.4052524268627167,4.097821235656738,1.207450032234192,7.761816501617432,7.761816501617432,7.697265625,0.6455078125,,,,,,
90,train,1783159664.9623065,527.3657836914062,527.3657836914062,527.3657836914062,8.953125,39.4375,0.8372251391410828,3.463071584701538,156.291015625,0.41394874453544617,4.113916873931885,1.3841098546981812,7.360632419586182,7.360632419586182,7.322265625,0.3836669921875,,,,,,
95,train,1783159665.309216,520.4555053710938,520.4555053710938,520.4555053710938,9.0234375,37.0,0.8268641829490662,2.9052813053131104,146.48297119140625,0.4143409729003906,4.0970563888549805,1.2309315204620361,7.850488185882568,7.850488185882568,7.78515625,0.6533203125,,,,,,
100,train,1783159665.68921,529.5247802734375,529.5247802734375,529.5247802734375,8.90625,39.125,0.8701572418212891,3.012450933456421,173.5487518310547,0.42345717549324036,4.107982158660889,1.3663921356201172,7.972320556640625,7.972320556640625,7.943359375,0.28961181640625,,,,,,
105,train,1783159666.0339444,511.2460632324219,511.2460632324219,511.2460632324219,8.5625,29.65625,0.7634381055831909,3.2925572395324707,145.3830108642578,0.3937964141368866,4.090567111968994,1.0377416610717773,7.8599853515625,7.8599853515625,7.7978515625,0.621337890625,,,,,,
110,train,1783159666.3810146,521.202392578125,521.202392578125,521.202392578125,7.421875,35.6875,0.7964377403259277,4.706132888793945,167.70860290527344,0.3978961110115051,4.10161828994751,1.2413958311080933,7.373425483703613,7.373425483703613,7.328125,0.4530029296875,,,,,,
115,train,1783159666.7272346,513.2380981445312,513.2380981445312,513.2380981445312,7.1875,33.71875,0.7823413014411926,4.075417518615723,144.8856964111328,0.41388124227523804,4.084005355834961,1.0942093133926392,7.444671630859375,7.444671630859375,7.404296875,0.40374755859375,,,,,,
120,train,1783159667.0737371,517.054443359375,517.054443359375,517.054443359375,7.46875,36.75,0.8115487694740295,4.425253868103027,146.2781982421875,0.40081480145454407,4.092695236206055,1.1515862941741943,7.584887504577637,7.584887504577637,7.5224609375,0.624267578125,,,,,,
125,train,1783159667.4208472,520.5473022460938,520.5473022460938,520.5473022460938,8.3203125,30.5625,0.8339518904685974,4.122193336486816,156.3602294921875,0.39849093556404114,4.097026824951172,1.2124940156936646,7.269982814788818,7.269982814788818,7.22265625,0.4732666015625,,,,,,
130,train,1783159667.7676358,502.5422058105469,502.5422058105469,502.5422058105469,8.6015625,18.75,0.8892717957496643,5.114192008972168,44.43753433227539,0.36161500215530396,4.007612228393555,1.2728277444839478,7.95703125,7.95703125,6.8203125,11.3671875,,,,,,
135,train,1783159668.1132145,484.6993713378906,484.6993713378906,484.6993713378906,9.0390625,10.57421875,0.7519435286521912,3.8274316787719727,25.837112426757812,0.33748695254325867,3.959949016571045,1.1586233377456665,8.839550971984863,8.839550971984863,8.14453125,6.9501953125,,,,,,
140,train,1783159668.4597545,486.33502197265625,486.33502197265625,486.33502197265625,7.5625,9.234375,0.7849902510643005,3.9833669662475586,29.676193237304688,0.34052419662475586,3.948324203491211,1.270877718925476,8.252001762390137,8.252001762390137,7.888671875,3.63330078125,,,,,,
145,train,1783159668.806202,475.75750732421875,475.75750732421875,475.75750732421875,7.125,10.921875,0.7056348919868469,3.961559772491455,27.073291778564453,0.3021848499774933,3.9320130348205566,1.1159125566482544,7.844580173492432,7.844580173492432,7.5693359375,2.75244140625,,,,,,
150,train,1783159669.185246,486.0843811035156,486.0843811035156,486.0843811035156,7.5390625,13.765625,0.7801439166069031,4.248111248016357,35.44673538208008,0.3229951560497284,3.937246322631836,1.300503134727478,8.172216415405273,8.172216415405273,7.9296875,2.42529296875,,,,,,
155,train,1783159669.5292127,480.9927978515625,480.9927978515625,480.9927978515625,8.3984375,13.4453125,0.7206972241401672,2.6920664310455322,39.259986877441406,0.32314759492874146,3.928666114807129,1.2396067380905151,8.829150199890137,8.829150199890137,8.5830078125,2.46142578125,,,,,,
160,train,1783159669.8766546,484.3800048828125,484.3800048828125,484.3800048828125,8.34375,15.7265625,0.7588046193122864,3.466827392578125,47.08394241333008,0.3232758343219757,3.9312362670898438,1.2235571146011353,7.759716987609863,7.759716987609863,7.53515625,2.24560546875,,,,,,
165,train,1783159670.2233033,489.25286865234375,489.25286865234375,489.25286865234375,7.5625,16.3359375,0.7848735451698303,3.61240291595459,55.427711486816406,0.32734212279319763,3.9323339462280273,1.3809248208999634,8.278539657592773,8.278539657592773,8.052734375,2.258056640625,,,,,,
170,train,1783159670.5710824,477.0768127441406,477.0768127441406,477.0768127441406,6.7578125,14.921875,0.7056796550750732,3.608119010925293,47.84252166748047,0.3055337965488434,3.93271803855896,1.0829029083251953,7.8121337890625,7.8121337890625,7.587890625,2.242431640625,,,,,,
