unique_id,date,architecture_name,dataset_name,variant_name,seed,hyperparameters_summary,parameter_count,model_size_megabytes,real_time_factor,mel_error,pesq,stoi,interpretation_notes
vocosformer_project_adaptation_train_seed1234_vocosformer_full_bf16bs32_20260707_0940,2026-07-07,vocosformer,ljspeech,project_trained_matched_vocos_24khz_ljspeech,1234,stage=train;hardware=nvidia_l40s;precision=bf16-mixed;batch_size=32;epochs=320;steps=124800;partition=ordered_identifier_holdout,13778690,52.56543731689453,,,,,Accepted random-initialized training execution of literature-derived project adaptation; evaluated durable state selected
vocosformer_project_adaptation_test_seed42_vocosformer_gate1_test_20260707_1700,2026-07-07,vocosformer,ljspeech,project_trained_matched_vocos_24khz_ljspeech,42,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;partition=ordered_identifier_holdout;checkpoint_step=120000,13778690,52.56543731689453,0.011641462201702662,2.9106960079886695,2.4798029307232596,0.9586939651788313,Accepted full-test execution; recorded PESQ is padded-protocol robustness result; true-length PESQ=3.512452051980155
vocosformer_project_adaptation_test_seed43_vocosformer_final_seed43_test_20260707_1700,2026-07-07,vocosformer,ljspeech,project_trained_matched_vocos_24khz_ljspeech,43,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;partition=ordered_identifier_holdout;checkpoint_step=120000,13778690,52.56543731689453,0.01330245668198486,2.9106960657871133,2.4798010581440026,0.9586939455561012,Accepted full-test execution; recorded PESQ is padded-protocol robustness result; true-length PESQ=3.512459069206601
vocosformer_project_adaptation_test_seed44_vocosformer_final_seed44_test_20260707_1700,2026-07-07,vocosformer,ljspeech,project_trained_matched_vocos_24khz_ljspeech,44,stage=test;hardware=nvidia_b200;precision=fp32;test_utterances=525;partition=ordered_identifier_holdout;checkpoint_step=120000,13778690,52.56543731689453,0.011567005059576073,2.910696015213475,2.479751016206536,0.9586939609829779,Accepted full-test execution; recorded PESQ is padded-protocol robustness result; true-length PESQ=3.5124602758316765
