step,time_unix,learning_rate_discriminator,learning_rate_generator,runtime/checkpoint_save_time_ms,runtime/checkpoint_size_mb,train_discriminator_loss,train_discriminator_loss_period,train_discriminator_loss_scale,train_discriminator_loss_total,train_generator_loss,train_generator_loss_adversarial_period,train_generator_loss_adversarial_scale,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_scale,train_generator_loss_mel,train_generator_loss_total,train_loss,val_loss,val_mel_l1
0,1783431961.603943,,,,,,,,,,,,,,,,,0.616251311302185,0.616251311302185
5,1783432005.7637432,,,,,1.3392016887664795,1.2120453119277954,0.12715640664100647,1.3392016887664795,49.18278121948242,3.0512280464172363,2.915879249572754,4.296135902404785,4.117868900299072,0.5863925814628601,49.18278121948242,49.18278121948242,,
10,1783432006.4876964,,,,,1.2476341724395752,1.1109368801116943,0.13669729232788086,1.2476341724395752,46.55033874511719,3.1775078773498535,2.9277760982513428,4.250695705413818,3.8925857543945312,0.5368553996086121,46.55033874511719,46.55033874511719,,
15,1783432007.2076013,,,,,1.1985374689102173,1.0786982774734497,0.1198391392827034,1.1985374689102173,46.147430419921875,3.2440185546875,2.7333850860595703,4.372105598449707,3.7167444229125977,0.5331627726554871,46.147430419921875,46.147430419921875,,
20,1783432007.935018,,,,,1.3930079936981201,1.2351735830307007,0.15783439576625824,1.3930079936981201,42.86608123779297,3.1848995685577393,2.757401943206787,3.968510389328003,3.4070796966552734,0.49272438883781433,42.86608123779297,42.86608123779297,,
25,1783432009.920389,,,,,1.2464044094085693,1.1215591430664062,0.12484521418809891,1.2464044094085693,45.804054260253906,3.259554386138916,2.7653260231018066,4.540073871612549,3.7471508979797363,0.5156605243682861,45.804054260253906,45.804054260253906,,
30,1783432011.604123,,,,,1.2348558902740479,1.095815896987915,0.1390400230884552,1.2348558902740479,44.53461837768555,3.1453704833984375,2.7629876136779785,4.298737049102783,3.5499191284179688,0.5095321536064148,44.53461837768555,44.53461837768555,,
35,1783432013.3711693,,,,,1.3384244441986084,1.1963837146759033,0.14204072952270508,1.3384244441986084,42.44959259033203,3.0654773712158203,2.7312450408935547,4.082298755645752,3.487034797668457,0.47809338569641113,42.44959259033203,42.44959259033203,,
40,1783432015.3646262,,,,,1.3394191265106201,1.1848188638687134,0.15460026264190674,1.3394191265106201,42.07624816894531,3.185617208480835,2.6842260360717773,4.0177507400512695,3.450073719024658,0.47268348932266235,42.07624816894531,42.07624816894531,,
45,1783432016.6566315,,,,,1.3106387853622437,1.1810251474380493,0.12961359322071075,1.3106387853622437,42.32411193847656,3.1293816566467285,2.7833786010742188,4.058337688446045,3.5380561351776123,0.47152361273765564,42.32411193847656,42.32411193847656,,
50,1783432019.4225633,,,,,1.3378961086273193,1.2103756666183472,0.12752048671245575,1.3378961086273193,42.917423248291016,3.1692309379577637,2.7741241455078125,4.1885175704956055,3.5723764896392822,0.4767172932624817,42.917423248291016,42.917423248291016,,
55,1783432021.0718982,,,,,1.3339823484420776,1.1875288486480713,0.14645349979400635,1.3339823484420776,41.9350700378418,3.203453302383423,2.7468228340148926,3.8540842533111572,3.448432207107544,0.47510582208633423,41.9350700378418,41.9350700378418,,
60,1783432022.6458511,,,,,1.3557090759277344,1.1885913610458374,0.16711775958538055,1.3557090759277344,41.53111267089844,3.1565182209014893,2.753925323486328,4.1111063957214355,3.460228204727173,0.4550666809082031,41.53111267089844,41.53111267089844,,
65,1783432023.8052592,,,,,1.384170413017273,1.2243927717208862,0.15977759659290314,1.384170413017273,41.394378662109375,3.1083667278289795,2.6930618286132812,3.9309840202331543,3.4293079376220703,0.46383029222488403,41.394378662109375,41.394378662109375,,
70,1783432026.4130135,,,,,1.28103768825531,1.145438313484192,0.13559935986995697,1.28103768825531,42.79937744140625,3.0353097915649414,2.749915361404419,4.358063220977783,3.5938315391540527,0.469119131565094,42.79937744140625,42.79937744140625,,
75,1783432028.0281618,,,,,1.4301049709320068,1.2498959302902222,0.1802089959383011,1.4301049709320068,41.30563735961914,2.9734535217285156,2.7792141437530518,3.9625139236450195,3.4542179107666016,0.4604334533214569,41.30563735961914,41.30563735961914,,
80,1783432029.2601852,,,,,1.3950446844100952,1.2538180351257324,0.1412266492843628,1.3950446844100952,41.714725494384766,3.0166208744049072,2.6689252853393555,4.09633731842041,3.4858341217041016,0.4636630117893219,41.714725494384766,41.714725494384766,,
85,1783432030.5021808,,,,,1.3682382106781006,1.2178456783294678,0.1503925323486328,1.3682382106781006,41.248779296875,3.0559144020080566,2.776095151901245,4.216912269592285,3.509227991104126,0.443655401468277,41.248779296875,41.248779296875,,
90,1783432032.9402533,,,,,1.3204411268234253,1.1689951419830322,0.15144594013690948,1.3204411268234253,42.14101028442383,2.9293878078460693,2.757436752319336,4.355011940002441,3.612943172454834,0.455961674451828,42.14101028442383,42.14101028442383,,
95,1783432034.3224254,,,,,1.3311660289764404,1.1849610805511475,0.1462048888206482,1.3311660289764404,42.090248107910156,3.027566909790039,2.706821918487549,4.321385860443115,3.5940988063812256,0.4561086595058441,42.090248107910156,42.090248107910156,,
100,1783432036.3931532,,,,,1.2970120906829834,1.1540218591690063,0.14299021661281586,1.2970120906829834,42.25507736206055,3.0708751678466797,2.7893519401550293,4.336173057556152,3.5635838508605957,0.45767417550086975,42.25507736206055,42.25507736206055,,
105,1783432037.8097618,,,,,1.4802550077438354,1.2976700067520142,0.18258503079414368,1.4802550077438354,39.16044235229492,2.9727208614349365,2.6397929191589355,3.7339344024658203,3.3137083053588867,0.43228092789649963,39.16044235229492,39.16044235229492,,
110,1783432039.7961247,,,,,1.4413368701934814,1.2727057933807373,0.16863103210926056,1.4413368701934814,40.62567901611328,2.982180118560791,2.750709056854248,4.063626289367676,3.4731767177581787,0.4404262602329254,40.62567901611328,40.62567901611328,,
115,1783432041.2935443,,,,,1.3534129858016968,1.188826084136963,0.16458694636821747,1.3534129858016968,40.793052673339844,3.181041955947876,2.776933431625366,4.005500793457031,3.415651559829712,0.4442838728427887,40.793052673339844,40.793052673339844,,
120,1783432042.8457172,,,,,1.4410569667816162,1.2798612117767334,0.1611957997083664,1.4410569667816162,40.77373123168945,3.2001640796661377,2.676360607147217,3.889152765274048,3.3833260536193848,0.4522721469402313,40.77373123168945,40.77373123168945,,
125,1783432044.2607865,,,,,1.3754057884216309,1.218193531036377,0.15721219778060913,1.3754057884216309,41.196571350097656,3.1285758018493652,2.669710636138916,4.072086334228516,3.4332339763641357,0.45305871963500977,41.196571350097656,41.196571350097656,,
130,1783432046.832654,,,,,1.3387200832366943,1.1854510307312012,0.15326902270317078,1.3387200832366943,41.49578857421875,2.998814582824707,2.6949968338012695,4.145532608032227,3.530782461166382,0.45442995429039,41.49578857421875,41.49578857421875,,
135,1783432048.479438,,,,,1.4197522401809692,1.2350462675094604,0.1847059428691864,1.4197522401809692,40.462425231933594,3.047747850418091,2.6401925086975098,3.9695937633514404,3.3588013648986816,0.4470599293708801,40.462425231933594,40.462425231933594,,
140,1783432050.0334604,,,,,1.3532031774520874,1.1605983972549438,0.19260475039482117,1.3532031774520874,41.10215759277344,3.0821871757507324,2.675319194793701,4.34873628616333,3.518484354019165,0.43578240275382996,41.10215759277344,41.10215759277344,,
145,1783432051.717842,,,,,1.4004707336425781,1.1990283727645874,0.20144233107566833,1.4004707336425781,40.19466018676758,3.093482494354248,2.6391711235046387,4.125582695007324,3.3677279949188232,0.4327862858772278,40.19466018676758,40.19466018676758,,
150,1783432053.529331,,,,,1.4577122926712036,1.26780366897583,0.18990866839885712,1.4577122926712036,40.192745208740234,3.028517484664917,2.6811420917510986,4.086816310882568,3.4397215843200684,0.43177804350852966,40.192745208740234,40.192745208740234,,
155,1783432054.864061,,,,,1.4097235202789307,1.2309943437576294,0.17872922122478485,1.4097235202789307,40.245819091796875,3.080921173095703,2.6394448280334473,4.049476146697998,3.3865184783935547,0.4367435872554779,40.245819091796875,40.245819091796875,,
160,1783432056.1997774,,,,,1.444632649421692,1.2864654064178467,0.15816724300384521,1.444632649421692,40.7946662902832,3.046992301940918,2.6833207607269287,4.129220485687256,3.451690912246704,0.4422784447669983,40.7946662902832,40.7946662902832,,
165,1783432057.624768,,,,,1.3217897415161133,1.1723555326461792,0.1494341939687729,1.3217897415161133,40.929969787597656,3.07554030418396,2.6883392333984375,4.236388206481934,3.50471830368042,0.43741947412490845,40.929969787597656,40.929969787597656,,
170,1783432059.9178462,,,,,1.5863127708435059,1.398667812347412,0.18764495849609375,1.5863127708435059,37.65546798706055,2.8038408756256104,2.600266218185425,3.593275785446167,3.2945828437805176,0.4105699062347412,37.65546798706055,37.65546798706055,,
175,1783432061.3750024,,,,,1.3770251274108887,1.210296869277954,0.16672828793525696,1.3770251274108887,40.91425323486328,3.0454459190368652,2.6466314792633057,4.074300765991211,3.5015010833740234,0.4460127353668213,40.91425323486328,40.91425323486328,,
180,1783432062.8792355,,,,,1.436830759048462,1.264283299446106,0.17254739999771118,1.436830759048462,40.12318420410156,2.891313314437866,2.667530059814453,4.115941047668457,3.4266927242279053,0.43286821246147156,40.12318420410156,40.12318420410156,,
185,1783432064.2771163,,,,,1.4270377159118652,1.2698882818222046,0.15714944899082184,1.4270377159118652,39.38713073730469,2.966071844100952,2.70241117477417,3.845320224761963,3.426926612854004,0.4260922968387604,39.38713073730469,39.38713073730469,,
190,1783432066.05205,,,,,1.6115912199020386,1.4089365005493164,0.20265474915504456,1.6115912199020386,38.26765441894531,2.7343084812164307,2.6151976585388184,3.835265874862671,3.376971483230591,0.4109705090522766,38.26765441894531,38.26765441894531,,
195,1783432067.8393474,,,,,1.475711703300476,1.2946420907974243,0.18106956779956818,1.475711703300476,39.363990783691406,2.9410135746002197,2.6300740242004395,3.916928291320801,3.414057970046997,0.42513179779052734,39.363990783691406,39.363990783691406,,
200,1783432069.6479578,,,,,1.4588658809661865,1.2932004928588867,0.1656654328107834,1.4588658809661865,40.90701675415039,3.1043877601623535,2.7508797645568848,4.198477745056152,3.5245139598846436,0.43568363785743713,40.90701675415039,40.90701675415039,,
205,1783432071.4005854,,,,,1.5087884664535522,1.3267135620117188,0.1820748895406723,1.5087884664535522,39.1270751953125,2.8569023609161377,2.6588962078094482,3.8172998428344727,3.3685178756713867,0.42754754424095154,39.1270751953125,39.1270751953125,,
210,1783432074.880835,,,,,1.5054795742034912,1.3321735858917236,0.17330597341060638,1.5054795742034912,39.0041389465332,2.9897806644439697,2.6278467178344727,3.886789321899414,3.418930768966675,0.41722384095191956,39.0041389465332,39.0041389465332,,
215,1783432076.532209,,,,,1.420020341873169,1.2152589559555054,0.20476134121418,1.420020341873169,40.18467330932617,3.0108132362365723,2.6379899978637695,4.237831115722656,3.4582018852233887,0.42541787028312683,40.18467330932617,40.18467330932617,,
220,1783432077.7884517,,,,,1.3933844566345215,1.214828610420227,0.1785559058189392,1.3933844566345215,39.22251892089844,2.9811675548553467,2.613461494445801,3.86704683303833,3.404555559158325,0.4241040349006653,39.22251892089844,39.22251892089844,,
