step,split,time_unix,learning_rate_generator,learning_rate_discriminator,train_loss,train_generator_loss,train_generator_loss_total,train_generator_loss_adversarial_period,train_generator_loss_adversarial_resolution,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_resolution,train_generator_loss_mel,train_discriminator_loss,train_discriminator_loss_total,train_discriminator_loss_period,train_discriminator_loss_resolution,val_loss,val_mel_l1
85,train,1783143095.5757,9.999660005711929e-05,9.999660005711929e-05,59.11625289916992,59.11625289916992,59.11625289916992,2.785430908203125,0.9272664785385132,2.0001509189605713,1.4117995500564575,1.0795478820800781,2.984499454498291,2.984499454498291,1.6073288917541504,1.3771705627441406,,
90,train,1783143097.8599617,9.999640006407916e-05,9.999640006407916e-05,59.53548812866211,59.53548812866211,59.53548812866211,2.6430141925811768,0.9516892433166504,1.7744015455245972,1.6216228008270264,1.0921940803527832,3.172520875930786,3.172520875930786,1.829105257987976,1.34341561794281,,
95,train,1783143100.1366673,9.999620007143903e-05,9.999620007143903e-05,57.12558364868164,57.12558364868164,57.12558364868164,2.181882858276367,0.9671267867088318,1.3078107833862305,1.4721293449401855,1.0759265422821045,3.254000425338745,3.254000425338745,1.9062527418136597,1.3477476835250854,,
100,train,1783143102.4460511,9.999600007919886e-05,9.999600007919886e-05,60.05307388305664,60.05307388305664,60.05307388305664,2.192716121673584,0.9554092288017273,1.6829785108566284,1.5867480039596558,1.119233250617981,3.009601593017578,3.009601593017578,1.6580846309661865,1.351516842842102,,
105,train,1783143104.7205822,9.999580008735869e-05,9.999580008735869e-05,55.44306945800781,55.44306945800781,55.44306945800781,2.3860607147216797,0.9373435974121094,1.9469151496887207,1.6900711059570312,0.9965709447860718,2.726238250732422,2.726238250732422,1.4173873662948608,1.3088507652282715,,
110,train,1783143106.9912233,9.999560009591851e-05,9.999560009591851e-05,54.70213317871094,54.70213317871094,54.70213317871094,2.363025426864624,0.9277375936508179,1.5901787281036377,1.8453344106674194,0.9897854328155518,3.2330565452575684,3.2330565452575684,1.9506556987762451,1.2824008464813232,,
115,train,1783143109.2660563,9.99954001048783e-05,9.99954001048783e-05,52.3340950012207,52.3340950012207,52.3340950012207,1.6097204685211182,0.8992617726325989,1.4205366373062134,1.3631806373596191,0.9835038781166077,3.703829050064087,3.703829050064087,2.328355550765991,1.3754734992980957,,
120,train,1783143111.5365572,9.999520011423808e-05,9.999520011423808e-05,56.47788619995117,56.47788619995117,56.47788619995117,2.782670259475708,0.967414379119873,2.2547035217285156,1.9690556526184082,0.9840063452720642,2.830259323120117,2.830259323120117,1.5550001859664917,1.275259017944336,,
125,train,1783143113.8142824,9.999500012399784e-05,9.999500012399784e-05,56.576908111572266,56.576908111572266,56.576908111572266,1.896918535232544,0.9480832815170288,2.460261106491089,1.7332663536071777,1.007663369178772,2.73881459236145,2.73881459236145,1.433396339416504,1.3054182529449463,,
130,train,1783143116.0937605,9.999480013415757e-05,9.999480013415757e-05,54.71886444091797,54.71886444091797,54.71886444091797,3.3558156490325928,0.9964261651039124,2.0065433979034424,1.6133145093917847,0.9583757519721985,2.876847743988037,2.876847743988037,1.5853745937347412,1.2914732694625854,,
135,train,1783143118.381491,9.999460014471729e-05,9.999460014471729e-05,53.10797882080078,53.10797882080078,53.10797882080078,1.9525492191314697,1.007380723953247,1.0600619316101074,1.7529665231704712,0.9893775582313538,4.256092548370361,4.256092548370361,2.983161687850952,1.2729309797286987,,
140,train,1783143120.6663513,9.999440015567699e-05,9.999440015567699e-05,53.56542205810547,53.56542205810547,53.56542205810547,1.4907169342041016,0.9484535455703735,0.7822412848472595,1.9008246660232544,1.016891598701477,3.9206464290618896,3.9206464290618896,2.649765968322754,1.2708804607391357,,
145,train,1783143122.943534,9.999420016703665e-05,9.999420016703665e-05,50.25542068481445,50.25542068481445,50.25542068481445,1.4558318853378296,0.9137469530105591,0.8330705761909485,1.808382511138916,0.9467319250106812,3.486783266067505,3.486783266067505,2.2348833084106445,1.2518999576568604,,
150,train,1783143125.2799015,9.99940001787963e-05,9.99940001787963e-05,50.26443099975586,50.26443099975586,50.26443099975586,1.7644814252853394,0.9600398540496826,1.0692601203918457,1.9123613834381104,0.9239259362220764,3.233783721923828,3.233783721923828,1.9965038299560547,1.2372797727584839,,
155,train,1783143127.5515978,9.999380019095594e-05,9.999380019095594e-05,52.535675048828125,52.535675048828125,52.535675048828125,2.0101726055145264,1.0243557691574097,1.3207919597625732,2.0630040168762207,0.9496345520019531,3.055718421936035,3.055718421936035,1.871938705444336,1.1837797164916992,,
160,train,1783143129.827918,9.999360020351554e-05,9.999360020351554e-05,53.189361572265625,53.189361572265625,53.189361572265625,1.8962942361831665,1.0643929243087769,1.5430207252502441,2.432589292526245,0.939499020576477,2.9786579608917236,2.9786579608917236,1.830720067024231,1.1479378938674927,,
165,train,1783143132.1069474,9.999340021647512e-05,9.999340021647512e-05,50.308380126953125,50.308380126953125,50.308380126953125,1.7668194770812988,1.0805985927581787,1.114550232887268,2.106445074081421,0.9115327000617981,3.5020394325256348,3.5020394325256348,2.3406901359558105,1.1613494157791138,,
170,train,1783143134.384191,9.999320022983466e-05,9.999320022983466e-05,50.35274124145508,50.35274124145508,50.35274124145508,1.6949306726455688,1.0754899978637695,0.7088538408279419,1.960960030555725,0.938726544380188,3.7756805419921875,3.7756805419921875,2.570023775100708,1.205656886100769,,
175,train,1783143136.662467,9.999300024359417e-05,9.999300024359417e-05,46.971336364746094,46.971336364746094,46.971336364746094,1.3862578868865967,1.1056873798370361,0.5275884866714478,1.945727825164795,0.8785058259963989,3.547916889190674,3.547916889190674,2.356368064880371,1.1915487051010132,,
180,train,1783143138.947716,9.999280025775365e-05,9.999280025775365e-05,47.493370056152344,47.493370056152344,47.493370056152344,1.6111466884613037,1.001180648803711,0.6454792022705078,2.1382551193237305,0.8736350536346436,3.4378058910369873,3.4378058910369873,2.2739760875701904,1.1638298034667969,,
185,train,1783143141.2396364,9.999260027231313e-05,9.999260027231313e-05,47.0340461730957,47.0340461730957,47.0340461730957,1.5485748052597046,1.2330247163772583,0.6364554762840271,2.158963680267334,0.8591468334197998,3.385087490081787,3.385087490081787,2.2673280239105225,1.1177594661712646,,
190,train,1783143143.5200043,9.999240028727258e-05,9.999240028727258e-05,46.51185607910156,46.51185607910156,46.51185607910156,1.3473753929138184,1.0691285133361816,0.6559386253356934,1.8940484523773193,0.8665639162063599,3.3929286003112793,3.3929286003112793,2.230461835861206,1.1624667644500732,,
195,train,1783143145.7972658,9.9992200302632e-05,9.9992200302632e-05,47.523887634277344,47.523887634277344,47.523887634277344,1.479051113128662,1.1375032663345337,0.7222236394882202,1.833391785621643,0.8843578696250916,3.626955986022949,3.626955986022949,2.3792293071746826,1.247726559638977,,
200,train,1783143148.1105268,9.999200031839139e-05,9.999200031839139e-05,50.595123291015625,50.595123291015625,50.595123291015625,1.5718826055526733,1.2609102725982666,0.7446483373641968,2.5317182540893555,0.9157687425613403,3.374509334564209,3.374509334564209,2.269886016845703,1.1046231985092163,,
205,train,1783143150.384172,9.999180033455075e-05,9.999180033455075e-05,49.04299545288086,49.04299545288086,49.04299545288086,1.5391641855239868,1.1475765705108643,0.6370397210121155,2.400240182876587,0.8951488137245178,3.365962028503418,3.365962028503418,2.2524478435516357,1.1135143041610718,,
210,train,1783143152.6616895,9.999160035111008e-05,9.999160035111008e-05,48.55513381958008,48.55513381958008,48.55513381958008,1.3150662183761597,1.2837542295455933,0.7752475738525391,2.2722055912017822,0.885809063911438,3.262173891067505,3.262173891067505,2.1230642795562744,1.1391096115112305,,
215,train,1783143154.9375038,9.999140036806934e-05,9.999140036806934e-05,46.77189254760742,46.77189254760742,46.77189254760742,1.5787897109985352,1.1324959993362427,0.8087419271469116,2.102283239364624,0.8497457504272461,3.263833522796631,3.263833522796631,2.094799041748047,1.1690343618392944,,
220,train,1783143157.320972,9.999120038542857e-05,9.999120038542857e-05,48.41433334350586,48.41433334350586,48.41433334350586,1.5189485549926758,1.2453386783599854,1.1118627786636353,2.7008252143859863,0.8449926376342773,3.0097341537475586,3.0097341537475586,1.9381598234176636,1.0715744495391846,,
225,train,1783143159.937079,9.999100040318778e-05,9.999100040318778e-05,48.33944320678711,48.33944320678711,48.33944320678711,2.2071361541748047,1.2034831047058105,1.1291437149047852,2.1358859539031982,0.8533059358596802,3.140313148498535,3.140313148498535,2.002901077270508,1.1374120712280273,,
230,train,1783143162.362793,9.999080042134694e-05,9.999080042134694e-05,47.702392578125,47.702392578125,47.702392578125,1.5486340522766113,1.304069995880127,1.2595070600509644,2.3070099353790283,0.8381478786468506,3.0515379905700684,3.0515379905700684,1.9699406623840332,1.0815973281860352,,
235,train,1783143164.7432263,9.999060043990608e-05,9.999060043990608e-05,47.091365814208984,47.091365814208984,47.091365814208984,1.6925255060195923,1.1688823699951172,1.1618422269821167,2.2607357501983643,0.8307732939720154,3.0516083240509033,3.0516083240509033,1.976736307144165,1.0748720169067383,,
240,train,1783143167.1718974,9.999040045886519e-05,9.999040045886519e-05,45.974403381347656,45.974403381347656,45.974403381347656,1.518021821975708,1.2613085508346558,0.9640769362449646,2.2253000736236572,0.8181403875350952,3.208212375640869,3.208212375640869,2.1570756435394287,1.0511367321014404,,
245,train,1783143169.48682,9.999020047822426e-05,9.999020047822426e-05,46.346683502197266,46.346683502197266,46.346683502197266,1.3996045589447021,1.3365321159362793,0.8137843012809753,2.4479997158050537,0.8241550922393799,3.4726529121398926,3.4726529121398926,2.4702560901641846,1.0023967027664185,,
250,train,1783143171.8351047,9.999000049798327e-05,9.999000049798327e-05,47.314796447753906,47.314796447753906,47.314796447753906,1.5857205390930176,1.3609752655029297,0.7704565525054932,2.46378755569458,0.8422136306762695,3.3911690711975098,3.3911690711975098,2.363248586654663,1.0279206037521362,,
255,train,1783143174.139511,9.998980051814225e-05,9.998980051814225e-05,44.95079803466797,44.95079803466797,44.95079803466797,1.3513329029083252,1.0446271896362305,0.5276612043380737,2.091726064682007,0.8292458057403564,3.7009477615356445,3.7009477615356445,2.585622549057007,1.1153252124786377,,
260,train,1783143176.4394019,9.99896005387012e-05,9.99896005387012e-05,45.440834045410156,45.440834045410156,45.440834045410156,1.3240786790847778,1.4796608686447144,0.6023416519165039,2.4360413551330566,0.8124516606330872,3.5605907440185547,3.5605907440185547,2.5036542415618896,1.0569363832473755,,
265,train,1783143178.7560112,9.99894005596601e-05,9.99894005596601e-05,45.220516204833984,45.220516204833984,45.220516204833984,1.491471290588379,1.3052151203155518,0.515180230140686,2.213862895965576,0.8214609622955322,3.4249327182769775,3.4249327182769775,2.3574271202087402,1.0675055980682373,,
270,train,1783143181.0779157,9.998920058101895e-05,9.998920058101895e-05,44.593109130859375,44.593109130859375,44.593109130859375,1.4308631420135498,1.2172900438308716,0.5561489462852478,2.495908737182617,0.796463131904602,3.270418167114258,3.270418167114258,2.2826788425445557,0.9877393245697021,,
275,train,1783143183.3804948,9.998900060277778e-05,9.998900060277778e-05,44.92744827270508,44.92744827270508,44.92744827270508,1.4364566802978516,1.3218886852264404,0.713114857673645,2.2830100059509277,0.8039301037788391,3.2410778999328613,3.2410778999328613,2.1620163917541504,1.0790616273880005,,
280,train,1783143185.6899073,9.998880062493654e-05,9.998880062493654e-05,43.794429779052734,43.794429779052734,43.794429779052734,1.5332666635513306,1.4578454494476318,0.71171635389328,2.5735926628112793,0.7607266902923584,3.151914596557617,3.151914596557617,2.2010817527770996,0.9508329033851624,,
285,train,1783143187.9886003,9.998860064749526e-05,9.998860064749526e-05,43.89491653442383,43.89491653442383,43.89491653442383,1.7611678838729858,1.3084163665771484,0.6860939264297485,2.4387881755828857,0.7683460116386414,3.2958807945251465,3.2958807945251465,2.300907611846924,0.9949731230735779,,
290,train,1783143190.2814863,9.998840067045395e-05,9.998840067045395e-05,46.67819595336914,46.67819595336914,46.67819595336914,1.6690019369125366,1.553077220916748,0.7538068294525146,2.4870493412017822,0.821653425693512,3.1251118183135986,3.1251118183135986,2.212705135345459,0.9124066233634949,,
295,train,1783143192.580393,9.998820069381258e-05,9.998820069381258e-05,44.927940368652344,44.927940368652344,44.927940368652344,1.4658324718475342,1.2953283786773682,0.7118949890136719,2.549004077911377,0.7921106815338135,3.3134407997131348,3.3134407997131348,2.3170125484466553,0.9964281320571899,,
300,train,1783143194.8894591,9.998800071757118e-05,9.998800071757118e-05,46.269187927246094,46.269187927246094,46.269187927246094,1.7142252922058105,1.429513931274414,0.833299994468689,2.6010959148406982,0.8057035803794861,3.2153804302215576,3.2153804302215576,2.2244696617126465,0.9909107089042664,,
305,train,1783143197.1759012,9.998780074172971e-05,9.998780074172971e-05,43.1829833984375,43.1829833984375,43.1829833984375,1.4575128555297852,1.2988348007202148,0.7332002520561218,2.477163553237915,0.75568687915802,3.243990421295166,3.243990421295166,2.226680040359497,1.017310380935669,,
310,train,1783143199.4729738,9.99876007662882e-05,9.99876007662882e-05,42.18722152709961,42.18722152709961,42.18722152709961,1.680059790611267,1.251741886138916,0.6256811618804932,2.233602285385132,0.745263397693634,3.312589168548584,3.312589168548584,2.2632179260253906,1.0493711233139038,,
315,train,1783143201.7736313,9.998740079124664e-05,9.998740079124664e-05,44.55829620361328,44.55829620361328,44.55829620361328,1.5866379737854004,1.4922232627868652,0.6735624074935913,2.54134202003479,0.7788805961608887,3.217968463897705,3.217968463897705,2.261883020401001,0.9560853242874146,,
320,train,1783143204.067522,9.998720081660503e-05,9.998720081660503e-05,45.92527389526367,45.92527389526367,45.92527389526367,1.4497480392456055,1.1929794549942017,0.8659378290176392,2.545288324356079,0.8102242946624756,3.029118776321411,3.029118776321411,2.046373128890991,0.9827456474304199,,
325,train,1783143206.3527122,9.998700084236337e-05,9.998700084236337e-05,45.102447509765625,45.102447509765625,45.102447509765625,1.487227201461792,1.2169177532196045,0.9208897352218628,2.6433732509613037,0.783772885799408,2.9136078357696533,2.9136078357696533,1.986777424812317,0.9268304705619812,,
330,train,1783143208.6373816,9.998680086852166e-05,9.998680086852166e-05,43.13097381591797,43.13097381591797,43.13097381591797,1.3708956241607666,1.3569512367248535,0.7353428602218628,2.149298906326294,0.7696409225463867,3.4606070518493652,3.4606070518493652,2.385808229446411,1.0747987031936646,,
335,train,1783143210.9264486,9.99866008950799e-05,9.99866008950799e-05,43.76755142211914,43.76755142211914,43.76755142211914,1.6666167974472046,1.3609929084777832,0.7563871145248413,2.2347397804260254,0.7723930478096008,3.269099473953247,3.269099473953247,2.224836587905884,1.0442628860473633,,
340,train,1783143213.218157,9.998640092203808e-05,9.998640092203808e-05,43.60601806640625,43.60601806640625,43.60601806640625,1.8326711654663086,1.439708948135376,0.9779037237167358,2.709774971008301,0.7324061989784241,2.9677062034606934,2.9677062034606934,2.070868730545044,0.8968374729156494,,
345,train,1783143215.509887,9.99862009493962e-05,9.99862009493962e-05,44.66993713378906,44.66993713378906,44.66993713378906,1.824064016342163,1.4792755842208862,1.048994779586792,2.6848366260528564,0.7533096075057983,3.186923027038574,3.186923027038574,2.2294652462005615,0.9574577212333679,,
350,train,1783143217.8491874,9.998600097715427e-05,9.998600097715427e-05,42.1168212890625,42.1168212890625,42.1168212890625,1.303312063217163,1.4027340412139893,0.924173891544342,2.537412166595459,0.7219467163085938,2.948498487472534,2.948498487472534,2.0317256450653076,0.9167728424072266,,
355,train,1783143220.1397188,9.998580100531229e-05,9.998580100531229e-05,43.78096008300781,43.78096008300781,43.78096008300781,2.0565576553344727,1.4854779243469238,1.1128917932510376,2.840010643005371,0.7185138463973999,3.1064791679382324,3.1064791679382324,2.224234104156494,0.8822450637817383,,
360,train,1783143222.4354277,9.998560103387024e-05,9.998560103387024e-05,42.5526237487793,42.5526237487793,42.5526237487793,1.343696117401123,1.4413306713104248,0.9688761234283447,2.325861930847168,0.7372915744781494,2.9934380054473877,2.9934380054473877,2.035515785217285,0.9579222798347473,,
365,train,1783143224.7166264,9.998540106282814e-05,9.998540106282814e-05,41.93592834472656,41.93592834472656,41.93592834472656,1.6005868911743164,1.3120869398117065,0.8767020106315613,2.5128610134124756,0.7165361642837524,3.1481919288635254,3.1481919288635254,2.185030460357666,0.9631615281105042,,
370,train,1783143227.000695,9.998520109218599e-05,9.998520109218599e-05,41.4249267578125,41.4249267578125,41.4249267578125,1.4004230499267578,1.4169657230377197,0.900783121585846,2.4806175231933594,0.7076607942581177,3.0714218616485596,3.0714218616485596,2.1140079498291016,0.957413911819458,,
375,train,1783143229.2824879,9.998500112194378e-05,9.998500112194378e-05,43.21430969238281,43.21430969238281,43.21430969238281,1.985811471939087,1.4530142545700073,1.0578054189682007,2.4971163272857666,0.7259030938148499,3.032536506652832,3.032536506652832,2.0682477951049805,0.9642888307571411,,
380,train,1783143231.5633514,9.998480115210151e-05,9.998480115210151e-05,41.51491928100586,41.51491928100586,41.51491928100586,1.3243739604949951,1.374595284461975,1.0012037754058838,2.4087164402008057,0.7110245823860168,3.117600440979004,3.117600440979004,2.139225482940674,0.9783748388290405,,
385,train,1783143233.838641,9.998460118265918e-05,9.998460118265918e-05,43.59546661376953,43.59546661376953,43.59546661376953,1.734534740447998,1.5364084243774414,0.9074712991714478,2.7641522884368896,0.732917308807373,3.0979421138763428,3.0979421138763428,2.2142555713653564,0.8836866021156311,,
390,train,1783143242.5332146,9.998440121361678e-05,9.998440121361678e-05,43.000709533691406,43.000709533691406,43.000709533691406,1.8295419216156006,1.3441977500915527,0.8952662944793701,2.212486982345581,0.7469213604927063,3.260235071182251,3.260235071182251,2.2150421142578125,1.0451929569244385,,
395,train,1783143245.055743,9.998420124497432e-05,9.998420124497432e-05,44.96977233886719,44.96977233886719,44.96977233886719,1.807026743888855,1.496341586112976,0.9947774410247803,2.7144949436187744,0.7610635757446289,2.975618600845337,2.975618600845337,2.077007532119751,0.8986111283302307,,
400,train,1783143247.381007,9.99840012767318e-05,9.99840012767318e-05,43.849037170410156,43.849037170410156,43.849037170410156,2.173701524734497,1.4016329050064087,1.0790036916732788,3.038365125656128,0.7119770646095276,2.905474901199341,2.905474901199341,2.0111231803894043,0.8943517208099365,,
405,train,1783143249.6653862,9.99838013088892e-05,9.99838013088892e-05,40.91506576538086,40.91506576538086,40.91506576538086,1.8919868469238281,1.450156569480896,0.9612372517585754,2.3102478981018066,0.6895544528961182,3.108475685119629,3.108475685119629,2.157729387283325,0.9507463574409485,,
410,train,1783143251.948154,9.998360134144655e-05,9.998360134144655e-05,43.270896911621094,43.270896911621094,43.270896911621094,1.719995141029358,1.4672296047210693,1.0526336431503296,2.8484177589416504,0.7173681259155273,2.915722370147705,2.915722370147705,2.0400137901306152,0.8757084608078003,,
415,train,1783143254.231862,9.998340137440383e-05,9.998340137440383e-05,41.450740814208984,41.450740814208984,41.450740814208984,1.8041250705718994,1.5116443634033203,0.8540897965431213,2.512566089630127,0.6978147029876709,2.9726357460021973,2.9726357460021973,2.060276508331299,0.9123591184616089,,
420,train,1783143256.5101812,9.998320140776104e-05,9.998320140776104e-05,41.01289367675781,41.01289367675781,41.01289367675781,1.9200019836425781,1.4968034029006958,0.9707196354866028,2.4702231884002686,0.682537853717804,2.96408748626709,2.96408748626709,2.0251731872558594,0.9389141798019409,,
425,train,1783143258.7849252,9.998300144151819e-05,9.998300144151819e-05,43.14394760131836,43.14394760131836,43.14394760131836,2.2451717853546143,1.4793635606765747,1.091971516609192,2.761667490005493,0.7047140598297119,3.1258363723754883,3.1258363723754883,2.228027820587158,0.8978086113929749,,
430,train,1783143261.0633898,9.998280147567528e-05,9.998280147567528e-05,40.259002685546875,40.259002685546875,40.259002685546875,1.5749804973602295,1.515673279762268,0.8452726602554321,2.8108878135681152,0.663467288017273,3.010666608810425,3.010666608810425,2.1337196826934814,0.8769469261169434,,
435,train,1783143263.340701,9.99826015102323e-05,9.99826015102323e-05,38.865596771240234,38.865596771240234,38.865596771240234,1.846498727798462,1.4420634508132935,0.8240953087806702,2.079644203186035,0.6615456938743591,3.1455116271972656,3.1455116271972656,2.1250061988830566,1.0205053091049194,,
440,train,1783143265.6167707,9.998240154518924e-05,9.998240154518924e-05,45.83123779296875,45.83123779296875,45.83123779296875,1.420149803161621,1.3853706121444702,1.1088778972625732,2.7495346069335938,0.7846421003341675,2.8071084022521973,2.8071084022521973,1.9080471992492676,0.8990613222122192,,
445,train,1783143267.8979883,9.998220158054611e-05,9.998220158054611e-05,41.54814147949219,41.54814147949219,41.54814147949219,1.9229271411895752,1.3949429988861084,0.8548043370246887,2.567164182662964,0.6974740624427795,3.0668880939483643,3.0668880939483643,2.105257987976074,0.96163010597229,,
450,train,1783143270.2140954,9.998200161630292e-05,9.998200161630292e-05,38.04013442993164,38.04013442993164,38.04013442993164,1.3839895725250244,1.5675758123397827,0.7316401600837708,2.2882273197174072,0.6455296277999878,3.2016570568084717,3.2016570568084717,2.2232329845428467,0.978424072265625,,
455,train,1783143272.485511,9.998180165245966e-05,9.998180165245966e-05,42.414894104003906,42.414894104003906,42.414894104003906,1.9898350238800049,1.4547032117843628,1.131967306137085,2.9086339473724365,0.6864256262779236,2.8181276321411133,2.8181276321411133,1.8975975513458252,0.9205300807952881,,
460,train,1783143274.7708063,9.998160168901632e-05,9.998160168901632e-05,41.42198944091797,41.42198944091797,41.42198944091797,2.210554361343384,1.545432686805725,1.1585478782653809,2.7645208835601807,0.6626636981964111,2.8622512817382812,2.8622512817382812,1.9692801237106323,0.8929710388183594,,
465,train,1783143277.0530956,9.998140172597291e-05,9.998140172597291e-05,44.28678512573242,44.28678512573242,44.28678512573242,2.2377336025238037,1.4780997037887573,1.0971330404281616,2.5507750511169434,0.7394474744796753,3.030061721801758,3.030061721801758,2.047639846801758,0.9824218153953552,,
470,train,1783143279.3345022,9.998120176332942e-05,9.998120176332942e-05,40.992862701416016,40.992862701416016,40.992862701416016,1.9692314863204956,1.4928860664367676,1.117160439491272,2.3646748065948486,0.6792683005332947,3.013622283935547,3.013622283935547,2.02596116065979,0.9876610636711121,,
475,train,1783143281.6085427,9.998100180108587e-05,9.998100180108587e-05,38.91926193237305,38.91926193237305,38.91926193237305,1.3334629535675049,1.3911693096160889,0.9181101322174072,2.491286277770996,0.6527963280677795,3.053107261657715,3.053107261657715,2.0993125438690186,0.9537948369979858,,
480,train,1783143283.886555,9.998080183924222e-05,9.998080183924222e-05,38.3357048034668,38.3357048034668,38.3357048034668,1.5498249530792236,1.419634461402893,1.0444046258926392,2.2327699661254883,0.6402643918991089,2.974989652633667,2.974989652633667,2.0242040157318115,0.9507856369018555,,
485,train,1783143286.1626596,9.998060187779851e-05,9.998060187779851e-05,41.66484832763672,41.66484832763672,41.66484832763672,1.9179151058197021,1.6057097911834717,1.4624147415161133,2.596604824066162,0.6671818494796753,2.8303840160369873,2.8303840160369873,1.8862775564193726,0.9441064596176147,,
