step,time_unix,runtime/checkpoint_save_time_ms,runtime/checkpoint_size_mb,train_discriminator_loss,train_discriminator_loss_total,train_generator_loss,train_generator_loss_adversarial,train_generator_loss_feature_matching,train_generator_loss_total,train_loss,val_discriminator_loss,val_generator_loss,val_loss,val_mel_l1
0,1783434837.5770833,,,,,,,,,,1573.1290844726564,4679.56420288086,1.525129075050354,1.525129075050354
5,1783434876.201163,,,74.10690307617188,74.10690307617188,357.7266845703125,326.3472900390625,3.137939453125,357.7266845703125,357.7266845703125,,,,
10,1783434876.6149998,,,66.08876037597656,66.08876037597656,325.530029296875,296.025634765625,2.950439453125,325.530029296875,325.530029296875,,,,
15,1783434877.02774,,,32.497215270996094,32.497215270996094,222.65814208984375,195.12640380859375,2.753173828125,222.65814208984375,222.65814208984375,,,,
20,1783434877.4414895,,,27.30679702758789,27.30679702758789,197.2675323486328,169.5502471923828,2.771728515625,197.2675323486328,197.2675323486328,,,,
25,1783434877.8564146,,,17.758726119995117,17.758726119995117,165.6857147216797,138.2516326904297,2.743408203125,165.6857147216797,165.6857147216797,,,,
30,1783434878.2756724,,,15.091048240661621,15.091048240661621,160.2977752685547,133.4984588623047,2.679931640625,160.2977752685547,160.2977752685547,,,,
35,1783434878.6917067,,,11.652640342712402,11.652640342712402,140.93035888671875,115.45915985107422,2.547119140625,140.93035888671875,140.93035888671875,,,,
40,1783434879.110643,,,11.375601768493652,11.375601768493652,126.74835968017578,102.18292999267578,2.45654296875,126.74835968017578,126.74835968017578,,,,
45,1783434879.5256035,,,11.615228652954102,11.615228652954102,126.79542541503906,101.52198791503906,2.52734375,126.79542541503906,126.79542541503906,,,,
50,1783434879.9447896,,,11.511582374572754,11.511582374572754,123.09587097167969,97.43180847167969,2.56640625,123.09587097167969,123.09587097167969,,,,
55,1783434880.365749,,,11.176985740661621,11.176985740661621,116.8908462524414,94.0661392211914,2.282470703125,116.8908462524414,116.8908462524414,,,,
60,1783434880.7803223,,,12.028985977172852,12.028985977172852,112.33275604248047,87.68187713623047,2.465087890625,112.33275604248047,112.33275604248047,,,,
65,1783434881.2005239,,,11.578210830688477,11.578210830688477,115.67163848876953,91.01831817626953,2.46533203125,115.67163848876953,115.67163848876953,,,,
70,1783434881.6245186,,,12.342759132385254,12.342759132385254,115.24061584472656,91.59559631347656,2.364501953125,115.24061584472656,115.24061584472656,,,,
75,1783434882.0427277,,,12.865275382995605,12.865275382995605,113.6114273071289,90.3936538696289,2.32177734375,113.6114273071289,113.6114273071289,,,,
80,1783434882.4659848,,,11.541116714477539,11.541116714477539,117.9931640625,94.7509765625,2.32421875,117.9931640625,117.9931640625,,,,
85,1783434882.8891203,,,10.916120529174805,10.916120529174805,110.76458740234375,88.29388427734375,2.2470703125,110.76458740234375,110.76458740234375,,,,
90,1783434883.311194,,,12.914422988891602,12.914422988891602,113.72196960449219,90.54081726074219,2.318115234375,113.72196960449219,113.72196960449219,,,,
95,1783434883.7320132,,,13.394779205322266,13.394779205322266,115.40694427490234,92.53829193115234,2.286865234375,115.40694427490234,115.40694427490234,,,,
100,1783434884.1532686,,,11.733152389526367,11.733152389526367,114.70526123046875,91.77313232421875,2.293212890625,114.70526123046875,114.70526123046875,,,,
105,1783434884.5707982,,,11.543854713439941,11.543854713439941,109.90299224853516,88.44303131103516,2.14599609375,109.90299224853516,109.90299224853516,,,,
110,1783434884.9925818,,,14.585283279418945,14.585283279418945,103.29257202148438,82.74569702148438,2.0546875,103.29257202148438,103.29257202148438,,,,
115,1783434885.4219542,,,12.716143608093262,12.716143608093262,104.08233642578125,83.01544189453125,2.106689453125,104.08233642578125,104.08233642578125,,,,
120,1783434885.8434358,,,13.422807693481445,13.422807693481445,111.91643524169922,88.36174774169922,2.35546875,111.91643524169922,111.91643524169922,,,,
125,1783434886.264415,,,11.710718154907227,11.710718154907227,121.5866470336914,99.2941665649414,2.229248046875,121.5866470336914,121.5866470336914,,,,
130,1783434886.6879687,,,14.311544418334961,14.311544418334961,108.5151138305664,85.9858169555664,2.2529296875,108.5151138305664,108.5151138305664,,,,
