step,split,time_unix,learning_rate_generator,learning_rate_discriminator,train_loss,train_generator_loss,train_generator_loss_total,train_generator_loss_adversarial_period,train_generator_loss_adversarial_scale,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_scale,train_generator_loss_mel,train_discriminator_loss,train_discriminator_loss_total,train_discriminator_loss_period,train_discriminator_loss_scale,val_loss,val_mel_l1
0,validation,1783129648.740452,,,,,,,,,,,,,,,2.0552525520324707,2.0552525520324707
5,train,1783129665.083387,,,73.07476806640625,73.07476806640625,73.07476806640625,1.495585560798645,0.5451056361198425,0.2490391731262207,0.10309898108243942,1.5628844499588013,4.393672943115234,4.393672943115234,2.76826810836792,1.6254045963287354,,
10,train,1783129665.8780494,,,71.39293670654297,71.39293670654297,71.39293670654297,1.0504465103149414,0.9943559765815735,0.24633219838142395,0.07937519252300262,1.526593804359436,4.102548599243164,4.102548599243164,2.5280869007110596,1.5744619369506836,,
15,train,1783129666.6707022,,,61.057655334472656,61.057655334472656,61.057655334472656,1.5010528564453125,0.7560341954231262,0.3853380084037781,0.11372239142656326,1.2844988107681274,3.943966865539551,3.943966865539551,2.429413080215454,1.5145536661148071,,
20,train,1783129667.4646049,,,64.25382995605469,64.25382995605469,64.25382995605469,1.4732853174209595,0.8089959621429443,0.6248123645782471,0.2653082609176636,1.3375844955444336,3.690119743347168,3.690119743347168,2.2525932788848877,1.4375265836715698,,
25,train,1783129668.2595959,,,65.10787200927734,65.10787200927734,65.10787200927734,2.3332815170288086,1.194586992263794,1.7204746007919312,1.0095157623291016,1.2471116781234741,2.8059823513031006,2.8059823513031006,1.7093486785888672,1.0966336727142334,,
30,train,1783129669.0481465,,,62.28770446777344,62.28770446777344,62.28770446777344,1.8018407821655273,1.4921883344650269,2.421055316925049,1.5494297742843628,1.1345045566558838,2.5239057540893555,2.5239057540893555,1.5013999938964844,1.0225058794021606,,
35,train,1783129669.8381627,,,59.064659118652344,59.064659118652344,59.064659118652344,2.0852904319763184,1.567688226699829,2.0995538234710693,1.0461987257003784,1.0915595293045044,2.698930501937866,2.698930501937866,1.609891653060913,1.0890388488769531,,
40,train,1783129670.6268618,,,58.33072280883789,58.33072280883789,58.33072280883789,1.8430677652359009,1.3647682666778564,2.060542106628418,1.326410174369812,1.0744218826293945,2.7968711853027344,2.7968711853027344,1.7323600053787231,1.0645110607147217,,
45,train,1783129671.4184477,,,56.3670539855957,56.3670539855957,56.3670539855957,1.6601765155792236,1.520652413368225,1.999448299407959,1.6871368885040283,1.0180679559707642,2.3718926906585693,2.3718926906585693,1.556380271911621,0.8155123591423035,,
50,train,1783129672.2440932,,,58.050899505615234,58.050899505615234,58.050899505615234,2.3813047409057617,1.5590883493423462,2.3482985496520996,1.7413182258605957,1.0206949710845947,2.3804421424865723,2.3804421424865723,1.5677043199539185,0.8127377033233643,,
55,train,1783129673.0320969,,,54.1528205871582,54.1528205871582,54.1528205871582,1.7641305923461914,1.5107271671295166,2.015272855758667,1.3846086263656616,0.979515552520752,2.603695869445801,2.603695869445801,1.7086594104766846,0.8950363993644714,,
60,train,1783129673.8204823,,,56.74079895019531,56.74079895019531,56.74079895019531,2.2678515911102295,2.091029167175293,2.1198697090148926,1.9652769565582275,0.9824806451797485,2.341906785964966,2.341906785964966,1.5705654621124268,0.7713413834571838,,
