step,time_unix,learning_rate_discriminator,learning_rate_generator,runtime/checkpoint_save_time_ms,runtime/checkpoint_size_mb,train_discriminator_loss,train_discriminator_loss_period,train_discriminator_loss_resolution,train_discriminator_loss_total,train_generator_loss,train_generator_loss_adversarial_period,train_generator_loss_adversarial_resolution,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_resolution,train_generator_loss_mel,train_generator_loss_total,train_loss,val_loss,val_mel_l1
0,1783430192.6282942,,,,,,,,,,,,,,,,,0.7364746415615082,0.7364746415615082
5,1783430237.043024,9.999980000015998e-06,9.999980000015998e-06,,,3.137547492980957,2.023329496383667,1.1142178773880005,3.137547492980957,39.63179397583008,1.9049267768859863,1.2476775646209717,1.9957444667816162,1.5378844738006592,0.6535984873771667,39.63179397583008,39.63179397583008,,
10,1783430239.3020675,9.999960000071998e-06,9.999960000071998e-06,,,2.8009939193725586,1.709519624710083,1.0914744138717651,2.8009939193725586,37.61373519897461,2.3391823768615723,1.3465867042541504,2.293773651123047,1.492784023284912,0.585663378238678,37.61373519897461,37.61373519897461,,
15,1783430241.566568,9.999940000167997e-06,9.999940000167997e-06,,,2.5902371406555176,1.5819872617721558,1.0082499980926514,2.5902371406555176,35.016658782958984,2.3031771183013916,1.2700181007385254,2.4137232303619385,1.6332528591156006,0.5188779830932617,35.016658782958984,35.016658782958984,,
20,1783430243.8277254,9.999920000303995e-06,9.999920000303995e-06,,,2.4920997619628906,1.438735008239746,1.053364872932434,2.4920997619628906,33.97968673706055,2.5278971195220947,1.3215975761413574,2.672150135040283,1.4898768663406372,0.4845808744430542,33.97968673706055,33.97968673706055,,
25,1783430246.085894,9.999900000479994e-06,9.999900000479994e-06,,,2.381361484527588,1.330966830253601,1.0503947734832764,2.381361484527588,33.667354583740234,2.4564781188964844,1.299175500869751,2.9434027671813965,1.5864777565002441,0.4633764624595642,33.667354583740234,33.667354583740234,,
30,1783430248.348997,9.999880000695993e-06,9.999880000695993e-06,,,2.429921865463257,1.3575499057769775,1.0723719596862793,2.429921865463257,31.43439483642578,2.5489182472229004,1.2470725774765015,2.768113613128662,1.482102632522583,0.42528823018074036,31.43439483642578,31.43439483642578,,
35,1783430250.6188543,9.99986000095199e-06,9.99986000095199e-06,,,2.498702049255371,1.328536033630371,1.170166015625,2.498702049255371,31.595203399658203,2.4775702953338623,1.1861298084259033,2.921738624572754,1.4479947090148926,0.4264897108078003,31.595203399658203,31.595203399658203,,
40,1783430252.8804505,9.999840001247988e-06,9.999840001247988e-06,,,2.573460102081299,1.384310007095337,1.189150094985962,2.573460102081299,30.223825454711914,2.520576000213623,1.233471393585205,2.826547622680664,1.341385841369629,0.40297579765319824,30.223825454711914,30.223825454711914,,
45,1783430255.1369307,9.999820001583986e-06,9.999820001583986e-06,,,2.515684127807617,1.365335464477539,1.1503486633300781,2.515684127807617,30.193161010742188,2.544603109359741,1.1445680856704712,2.9796104431152344,1.3903369903564453,0.3947576582431793,30.193161010742188,30.193161010742188,,
50,1783430257.4014559,9.99980000195998e-06,9.99980000195998e-06,,,2.5721540451049805,1.4091811180114746,1.1629729270935059,2.5721540451049805,29.353078842163086,2.508679151535034,1.2283580303192139,2.869967460632324,1.430405855178833,0.3781176805496216,29.353078842163086,29.353078842163086,,
55,1783430259.668943,9.999780002375977e-06,9.999780002375977e-06,,,2.53085994720459,1.3604605197906494,1.1703994274139404,2.53085994720459,28.763517379760742,2.681774616241455,1.1811468601226807,2.9294703006744385,1.253339171409607,0.3674439787864685,28.763517379760742,28.763517379760742,,
60,1783430261.9275537,9.999760002831971e-06,9.999760002831971e-06,,,2.5724380016326904,1.410876750946045,1.1615612506866455,2.5724380016326904,28.770008087158203,2.5207903385162354,1.2228877544403076,2.829406499862671,1.3297767639160156,0.37128809094429016,28.770008087158203,28.770008087158203,,
65,1783430264.1888633,9.999740003327965e-06,9.999740003327965e-06,,,2.562338352203369,1.3994003534317017,1.162938117980957,2.562338352203369,28.623729705810547,2.6022353172302246,1.1867698431015015,2.8450310230255127,1.3786107301712036,0.364165335893631,28.623729705810547,28.623729705810547,,
70,1783430266.4478698,9.999720003863956e-06,9.999720003863956e-06,,,2.6504859924316406,1.495018482208252,1.1554673910140991,2.6504859924316406,28.76249122619629,2.379725694656372,1.1417701244354248,2.70635724067688,1.411280632019043,0.37790489196777344,28.76249122619629,28.76249122619629,,
75,1783430268.7139375,9.999700004439949e-06,9.999700004439949e-06,,,2.702261447906494,1.5591461658477783,1.1431151628494263,2.702261447906494,27.487808227539062,2.279783248901367,1.2004646062850952,2.606971263885498,1.3301355838775635,0.3585188090801239,27.487808227539062,27.487808227539062,,
80,1783430270.9710007,9.999680005055938e-06,9.999680005055938e-06,,,2.852874279022217,1.6582999229431152,1.1945744752883911,2.852874279022217,26.423988342285156,2.24069881439209,1.1443367004394531,2.5320346355438232,1.3135449886322021,0.3410620391368866,26.423988342285156,26.423988342285156,,
85,1783430273.2290645,9.999660005711927e-06,9.999660005711927e-06,,,2.8092145919799805,1.6471489667892456,1.1620656251907349,2.8092145919799805,26.957469940185547,2.18757963180542,1.158340573310852,2.5376780033111572,1.357404112815857,0.35158637166023254,26.957469940185547,26.957469940185547,,
90,1783430275.48915,9.999640006407914e-06,9.999640006407914e-06,,,2.8315329551696777,1.7034367322921753,1.128096103668213,2.8315329551696777,26.604248046875,2.1864967346191406,1.1615287065505981,2.586228132247925,1.425671100616455,0.3384982943534851,26.604248046875,26.604248046875,,
95,1783430277.7461047,9.9996200071439e-06,9.9996200071439e-06,,,2.9385910034179688,1.7971234321594238,1.1414676904678345,2.9385910034179688,26.23533058166504,2.1303844451904297,1.1917612552642822,2.3963518142700195,1.346282958984375,0.34284257888793945,26.23533058166504,26.23533058166504,,
100,1783430280.0069015,9.999600007919885e-06,9.999600007919885e-06,,,3.07556414604187,1.8652384281158447,1.2103257179260254,3.07556414604187,25.324722290039062,2.034168004989624,1.0946118831634521,2.282382011413574,1.2947652339935303,0.3342588245868683,25.324722290039062,25.324722290039062,,
105,1783430282.2702885,9.999580008735868e-06,9.999580008735868e-06,,,3.1246471405029297,1.9463350772857666,1.178312063217163,3.1246471405029297,26.024662017822266,1.9999345541000366,1.1749122142791748,2.216496467590332,1.406986117362976,0.3467300236225128,26.024662017822266,26.024662017822266,,
110,1783430284.530084,9.999560009591849e-06,9.999560009591849e-06,,,3.1166634559631348,1.9262648820877075,1.1903984546661377,3.1166634559631348,24.822284698486328,1.9283394813537598,1.151914358139038,2.2703795433044434,1.3741536140441895,0.3211769759654999,24.822284698486328,24.822284698486328,,
115,1783430286.794722,9.999540010487829e-06,9.999540010487829e-06,,,3.019638776779175,1.8312088251113892,1.1884299516677856,3.019638776779175,24.971162796020508,2.0487985610961914,1.1705431938171387,2.2264018058776855,1.2040742635726929,0.3309082090854645,24.971162796020508,24.971162796020508,,
