step,split,time_unix,train_excitation_cross_entropy,train_loss,val_excitation_cross_entropy,val_loss
490,train,1783387898.6527033,3.684199333190918,3.684199333190918,,
500,train,1783387901.5535312,3.6573901176452637,3.6573901176452637,,
510,train,1783387903.892874,3.618723154067993,3.618723154067993,,
520,train,1783387906.2448645,3.712924003601074,3.712924003601074,,
530,train,1783387908.568184,3.6347498893737793,3.6347498893737793,,
540,train,1783387910.9479325,3.710895299911499,3.710895299911499,,
550,train,1783387913.3463938,3.566612958908081,3.566612958908081,,
560,train,1783387915.6893303,3.7327213287353516,3.7327213287353516,,
570,train,1783387918.0299382,3.6307971477508545,3.6307971477508545,,
580,train,1783387920.3561237,3.69433856010437,3.69433856010437,,
590,train,1783387923.0890646,3.622053623199463,3.622053623199463,,
600,train,1783387925.478705,3.572310447692871,3.572310447692871,,
610,train,1783387927.822145,3.659897565841675,3.659897565841675,,
620,train,1783387930.1890016,3.6390626430511475,3.6390626430511475,,
630,train,1783387932.575809,3.563789129257202,3.563789129257202,,
640,train,1783387934.9112554,3.6012346744537354,3.6012346744537354,,
650,train,1783387937.2875366,3.5031673908233643,3.5031673908233643,,
660,train,1783387939.6326764,3.632059097290039,3.632059097290039,,
670,train,1783387941.9725807,3.5944080352783203,3.5944080352783203,,
680,train,1783387944.3028023,3.6098055839538574,3.6098055839538574,,
690,train,1783387947.0254545,3.5491929054260254,3.5491929054260254,,
700,train,1783387949.4038887,3.502546548843384,3.502546548843384,,
710,train,1783387951.7993119,3.570441246032715,3.570441246032715,,
720,train,1783387954.159199,3.591580390930176,3.591580390930176,,
730,train,1783387956.513684,3.665835380554199,3.665835380554199,,
740,train,1783387958.8933382,3.443751811981201,3.443751811981201,,
750,train,1783387961.2996476,3.486851453781128,3.486851453781128,,
760,train,1783387963.6839192,3.44154953956604,3.44154953956604,,
770,train,1783387966.038944,3.5353784561157227,3.5353784561157227,,
780,train,1783387968.3929307,3.54175066947937,3.54175066947937,,
790,train,1783387971.2018406,3.4878649711608887,3.4878649711608887,,
800,train,1783387973.6052477,3.5211639404296875,3.5211639404296875,,
810,train,1783387976.0015903,3.5331735610961914,3.5331735610961914,,
820,train,1783387978.4315739,3.6184732913970947,3.6184732913970947,,
830,train,1783387980.8191497,3.473482370376587,3.473482370376587,,
840,train,1783387983.2054534,3.5198585987091064,3.5198585987091064,,
850,train,1783387985.6424754,3.5597078800201416,3.5597078800201416,,
860,train,1783387988.033916,3.5018482208251953,3.5018482208251953,,
870,train,1783387990.403584,3.5100929737091064,3.5100929737091064,,
880,train,1783387992.7469108,3.488100290298462,3.488100290298462,,
890,train,1783387995.5965996,3.561556816101074,3.561556816101074,,
900,train,1783387998.1373177,3.442843437194824,3.442843437194824,,
910,train,1783388000.7217422,3.4575884342193604,3.4575884342193604,,
920,train,1783388003.1437435,3.4917795658111572,3.4917795658111572,,
930,train,1783388005.5218966,3.4572031497955322,3.4572031497955322,,
940,train,1783388007.9023757,3.4255950450897217,3.4255950450897217,,
950,train,1783388010.3334246,3.538970947265625,3.538970947265625,,
960,train,1783388012.6761131,3.4129903316497803,3.4129903316497803,,
970,train,1783388015.0455809,3.393707036972046,3.393707036972046,,
980,train,1783388017.292441,3.427605390548706,3.427605390548706,,
990,train,1783388020.1907916,3.4159204959869385,3.4159204959869385,,
1000,train,1783388022.6174824,3.440063238143921,3.440063238143921,,
1010,train,1783388025.005117,3.4989967346191406,3.4989967346191406,,
1020,train,1783388027.3684611,3.4636247158050537,3.4636247158050537,,
1030,train,1783388029.7047427,3.561952829360962,3.561952829360962,,
1040,train,1783388032.1052735,3.4680588245391846,3.4680588245391846,,
1050,train,1783388035.1864352,3.365396499633789,3.365396499633789,,
1060,train,1783388038.0584197,3.5578198432922363,3.5578198432922363,,
1070,train,1783388040.7590857,3.5072267055511475,3.5072267055511475,,
1080,train,1783388044.4802885,3.466517448425293,3.466517448425293,,
1090,train,1783388047.0160673,3.488717555999756,3.488717555999756,,
1100,train,1783388049.471604,3.488706588745117,3.488706588745117,,
1110,train,1783388051.8311486,3.449718475341797,3.449718475341797,,
1120,train,1783388054.1805768,3.4215736389160156,3.4215736389160156,,
1130,train,1783388056.5504391,3.4575233459472656,3.4575233459472656,,
1140,train,1783388058.908481,3.5630884170532227,3.5630884170532227,,
1150,train,1783388061.3507712,3.4457147121429443,3.4457147121429443,,
1160,train,1783388063.7160056,3.3994486331939697,3.3994486331939697,,
1170,train,1783388066.3403385,3.563477039337158,3.563477039337158,,
1180,train,1783388069.3429146,3.4147298336029053,3.4147298336029053,,
1190,train,1783388072.152795,3.578611373901367,3.578611373901367,,
1200,train,1783388075.2172341,3.366475820541382,3.366475820541382,,
1210,train,1783388077.8593364,3.4705324172973633,3.4705324172973633,,
1220,train,1783388080.4537165,3.4686763286590576,3.4686763286590576,,
1230,train,1783388082.8946211,3.469524383544922,3.469524383544922,,
1240,train,1783388085.454478,3.2835519313812256,3.2835519313812256,,
1250,train,1783388088.076184,3.467376708984375,3.467376708984375,,
1260,train,1783388090.5970573,3.4907145500183105,3.4907145500183105,,
1270,train,1783388092.9955437,3.4404561519622803,3.4404561519622803,,
1280,train,1783388096.2728205,3.4895834922790527,3.4895834922790527,,
1290,train,1783388098.6567833,3.393117666244507,3.393117666244507,,
1300,train,1783388101.0222595,3.4639031887054443,3.4639031887054443,,
1310,train,1783388103.3731427,3.3908917903900146,3.3908917903900146,,
1320,train,1783388105.7510467,3.4098124504089355,3.4098124504089355,,
1330,train,1783388108.1180654,3.4811508655548096,3.4811508655548096,,
1340,train,1783388110.4694288,3.4534106254577637,3.4534106254577637,,
1350,train,1783388112.8697116,3.54575777053833,3.54575777053833,,
1360,train,1783388115.2309566,3.42648983001709,3.42648983001709,,
1370,train,1783388117.564793,3.3065075874328613,3.3065075874328613,,
1380,train,1783388120.319095,3.447160243988037,3.447160243988037,,
1390,train,1783388122.662122,3.273691177368164,3.273691177368164,,
1400,train,1783388125.0456865,3.3486294746398926,3.3486294746398926,,
1410,train,1783388127.3934112,3.502202272415161,3.502202272415161,,
1420,train,1783388129.7588568,3.3294100761413574,3.3294100761413574,,
1430,train,1783388132.1538427,3.466019868850708,3.466019868850708,,
1440,train,1783388134.5110223,3.434222936630249,3.434222936630249,,
1450,train,1783388136.8965268,3.3252367973327637,3.3252367973327637,,
1460,train,1783388139.225663,3.389508008956909,3.389508008956909,,
1470,train,1783388141.4389627,3.3402202129364014,3.3402202129364014,,
1480,train,1783388144.3058023,3.470853805541992,3.470853805541992,,
1490,train,1783388146.6351721,3.4199414253234863,3.4199414253234863,,
1500,train,1783388149.01706,3.4576799869537354,3.4576799869537354,,
1510,train,1783388151.3831124,3.34757661819458,3.34757661819458,,
1520,train,1783388153.750771,3.3854987621307373,3.3854987621307373,,
1530,train,1783388156.1037447,3.3664159774780273,3.3664159774780273,,
1540,train,1783388158.464782,3.2872841358184814,3.2872841358184814,,
1550,train,1783388160.8670988,3.3718738555908203,3.3718738555908203,,
1560,train,1783388163.2299318,3.3830559253692627,3.3830559253692627,,
1570,train,1783388165.993203,3.311495304107666,3.311495304107666,,
1580,train,1783388168.3501744,3.4359354972839355,3.4359354972839355,,
1590,train,1783388170.7330704,3.3924968242645264,3.3924968242645264,,
1600,train,1783388173.1139834,3.4609501361846924,3.4609501361846924,,
1610,train,1783388175.4682722,3.438626289367676,3.438626289367676,,
1620,train,1783388177.9297116,3.337700366973877,3.337700366973877,,
1630,train,1783388180.2675514,3.29707670211792,3.29707670211792,,
1640,train,1783388182.6336248,3.3520472049713135,3.3520472049713135,,
1650,train,1783388185.0413747,3.3600027561187744,3.3600027561187744,,
1660,train,1783388187.4041436,3.393730401992798,3.393730401992798,,
1670,train,1783388190.1538165,3.4236178398132324,3.4236178398132324,,
1680,train,1783388192.5246694,3.360811948776245,3.360811948776245,,
1690,train,1783388194.8729455,3.4201619625091553,3.4201619625091553,,
1700,train,1783388197.2901423,3.4239845275878906,3.4239845275878906,,
1710,train,1783388199.6952865,3.4737961292266846,3.4737961292266846,,
1720,train,1783388202.089646,3.419466972351074,3.419466972351074,,
1730,train,1783388204.4753942,3.370394468307495,3.370394468307495,,
1740,train,1783388206.8569956,3.333604097366333,3.333604097366333,,
1750,train,1783388209.273606,3.3398995399475098,3.3398995399475098,,
1760,train,1783388211.6622546,3.3770227432250977,3.3770227432250977,,
1770,train,1783388214.503887,3.3426718711853027,3.3426718711853027,,
1780,train,1783388216.8840456,3.398710250854492,3.398710250854492,,
1790,train,1783388219.2746978,3.2894561290740967,3.2894561290740967,,
1800,train,1783388221.7144575,3.3590469360351562,3.3590469360351562,,
1810,train,1783388224.1163256,3.381387233734131,3.381387233734131,,
1820,train,1783388226.4929287,3.273092031478882,3.273092031478882,,
1830,train,1783388228.8417242,3.338129997253418,3.338129997253418,,
1840,train,1783388231.2036524,3.4423861503601074,3.4423861503601074,,
1850,train,1783388233.6020124,3.313340663909912,3.313340663909912,,
1860,train,1783388235.96508,3.252924919128418,3.252924919128418,,
1870,train,1783388238.7265544,3.2749907970428467,3.2749907970428467,,
1880,train,1783388241.0326111,3.4178853034973145,3.4178853034973145,,
1890,train,1783388243.3975644,3.219008207321167,3.219008207321167,,
1900,train,1783388245.7997205,3.264272928237915,3.264272928237915,,
1910,train,1783388248.175359,3.358469009399414,3.358469009399414,,
1920,train,1783388250.5263581,3.3141634464263916,3.3141634464263916,,
1930,train,1783388252.8838038,3.303353786468506,3.303353786468506,,
1940,train,1783388255.2568886,3.2888636589050293,3.2888636589050293,,
1950,train,1783388257.679668,3.3627877235412598,3.3627877235412598,,
1960,train,1783388259.9430032,3.4965853691101074,3.4965853691101074,,
1970,train,1783388262.8445897,3.320322275161743,3.320322275161743,,
1980,train,1783388265.196765,3.2882566452026367,3.2882566452026367,,
1990,train,1783388267.565578,3.3273091316223145,3.3273091316223145,,
2000,train,1783388269.9922473,3.243406295776367,3.243406295776367,,
2010,train,1783388272.3395991,3.3843352794647217,3.3843352794647217,,
2020,train,1783388274.6947644,3.367065191268921,3.367065191268921,,
2030,train,1783388277.0548108,3.358785629272461,3.358785629272461,,
2040,train,1783388279.4246833,3.2947030067443848,3.2947030067443848,,
2050,train,1783388281.8027081,3.3069612979888916,3.3069612979888916,,
2060,train,1783388284.562308,3.2997446060180664,3.2997446060180664,,
2070,train,1783388286.9273565,3.362833023071289,3.362833023071289,,
2080,train,1783388289.283262,3.35882568359375,3.35882568359375,,
2090,train,1783388291.6440396,3.3509418964385986,3.3509418964385986,,
2100,train,1783388294.0276313,3.3127832412719727,3.3127832412719727,,
2110,train,1783388296.36673,3.414578437805176,3.414578437805176,,
2120,train,1783388298.7280226,3.269192695617676,3.269192695617676,,
2130,train,1783388301.1220026,3.41929292678833,3.41929292678833,,
2140,train,1783388303.4974792,3.2846124172210693,3.2846124172210693,,
2150,train,1783388305.8752327,3.2665553092956543,3.2665553092956543,,
2160,train,1783388308.6876059,3.3854291439056396,3.3854291439056396,,
2170,train,1783388311.0370586,3.4024746417999268,3.4024746417999268,,
2180,train,1783388313.3979392,3.4038522243499756,3.4038522243499756,,
2190,train,1783388315.7813535,3.39526629447937,3.39526629447937,,
2200,train,1783388318.1775227,3.3263769149780273,3.3263769149780273,,
2210,train,1783388320.4957743,3.2948899269104004,3.2948899269104004,,
2220,train,1783388322.8357658,3.3587756156921387,3.3587756156921387,,
2230,train,1783388325.2022297,3.3855273723602295,3.3855273723602295,,
2240,train,1783388327.5564678,3.279904365539551,3.279904365539551,,
2250,train,1783388329.8991284,3.270697832107544,3.270697832107544,,
2260,train,1783388332.6311636,3.43280291557312,3.43280291557312,,
2270,train,1783388334.987981,3.4250998497009277,3.4250998497009277,,
2280,train,1783388337.3190122,3.3976759910583496,3.3976759910583496,,
2290,train,1783388339.660422,3.3187808990478516,3.3187808990478516,,
2300,train,1783388342.0466852,3.2389633655548096,3.2389633655548096,,
2310,train,1783388344.368748,3.4742424488067627,3.4742424488067627,,
2320,train,1783388346.7299244,3.241344690322876,3.241344690322876,,
2330,train,1783388349.0699,3.3847718238830566,3.3847718238830566,,
2340,train,1783388351.401758,3.350165605545044,3.350165605545044,,
2350,train,1783388353.7613394,3.3406083583831787,3.3406083583831787,,
2360,train,1783388356.5099978,3.4046881198883057,3.4046881198883057,,
2370,train,1783388358.8662968,3.236642837524414,3.236642837524414,,
2380,train,1783388361.2115865,3.2565202713012695,3.2565202713012695,,
2390,train,1783388363.5871274,3.301257848739624,3.301257848739624,,
2400,train,1783388366.0038645,3.316833019256592,3.316833019256592,,
2410,train,1783388368.3916218,3.341496229171753,3.341496229171753,,
2420,train,1783388370.762899,3.2219698429107666,3.2219698429107666,,
2430,train,1783388373.0772364,3.2913005352020264,3.2913005352020264,,
2440,train,1783388375.4332728,3.418856620788574,3.418856620788574,,
2450,train,1783388377.7037134,3.263765573501587,3.263765573501587,,
2460,train,1783388380.5385401,3.4314723014831543,3.4314723014831543,,
2470,train,1783388382.885481,3.3162851333618164,3.3162851333618164,,
2480,train,1783388385.2442331,3.319380521774292,3.319380521774292,,
2490,train,1783388387.5737648,3.23793625831604,3.23793625831604,,
2500,train,1783388389.9984293,3.2761449813842773,3.2761449813842773,,
2510,train,1783388392.3551867,3.2376010417938232,3.2376010417938232,,
2520,train,1783388394.706729,3.357408046722412,3.357408046722412,,
2530,train,1783388397.002812,3.2670023441314697,3.2670023441314697,,
2540,train,1783388399.333786,3.3225090503692627,3.3225090503692627,,
2550,train,1783388402.1253302,3.314648151397705,3.314648151397705,,
2560,train,1783388404.4280334,3.3287293910980225,3.3287293910980225,,
2570,train,1783388406.7708144,3.284766435623169,3.284766435623169,,
2580,train,1783388409.1307154,3.3347580432891846,3.3347580432891846,,
2590,train,1783388411.5107164,3.3664636611938477,3.3664636611938477,,
2600,train,1783388413.8748243,3.2334039211273193,3.2334039211273193,,
2610,train,1783388416.2009647,3.3050003051757812,3.3050003051757812,,
2620,train,1783388418.5836935,3.2901902198791504,3.2901902198791504,,
2630,train,1783388420.9488404,3.3406550884246826,3.3406550884246826,,
2640,train,1783388423.2712958,3.2897286415100098,3.2897286415100098,,
2650,train,1783388426.0283933,3.430356979370117,3.430356979370117,,
2660,train,1783388428.3586195,3.343944549560547,3.343944549560547,,
2670,train,1783388430.6901157,3.3152031898498535,3.3152031898498535,,
2680,train,1783388433.0535972,3.2786459922790527,3.2786459922790527,,
2690,train,1783388435.432278,3.3532655239105225,3.3532655239105225,,
2700,train,1783388437.8333156,3.3932642936706543,3.3932642936706543,,
2710,train,1783388440.2010753,3.0984690189361572,3.0984690189361572,,
2720,train,1783388442.5617695,3.2761521339416504,3.2761521339416504,,
2730,train,1783388444.917838,3.249394178390503,3.249394178390503,,
2740,train,1783388447.217837,3.333350896835327,3.333350896835327,,
2750,train,1783388450.0391219,3.3846216201782227,3.3846216201782227,,
2760,train,1783388452.3880765,3.322253942489624,3.322253942489624,,
2770,train,1783388454.7472615,3.3935787677764893,3.3935787677764893,,
2780,train,1783388457.1181712,3.2985873222351074,3.2985873222351074,,
2790,train,1783388459.5287783,3.072995185852051,3.072995185852051,,
2800,train,1783388461.9459102,3.3413753509521484,3.3413753509521484,,
2810,train,1783388464.2797601,3.2763617038726807,3.2763617038726807,,
2820,train,1783388466.6456604,3.387150526046753,3.387150526046753,,
2830,train,1783388469.0382545,3.235283374786377,3.235283374786377,,
2840,train,1783388471.3845897,3.3395988941192627,3.3395988941192627,,
2850,train,1783388474.1941018,3.3166048526763916,3.3166048526763916,,
2860,train,1783388476.5419803,3.2669148445129395,3.2669148445129395,,
2870,train,1783388478.896952,3.4056808948516846,3.4056808948516846,,
2880,train,1783388481.2336667,3.35866641998291,3.35866641998291,,
2890,train,1783388483.580627,3.3218910694122314,3.3218910694122314,,
2900,train,1783388485.9562826,3.2371373176574707,3.2371373176574707,,
2910,train,1783388488.3111234,3.274745225906372,3.274745225906372,,
2920,train,1783388490.66653,3.123136043548584,3.123136043548584,,
2930,train,1783388493.0029554,3.3202409744262695,3.3202409744262695,,
2940,train,1783388495.2175868,3.4369115829467773,3.4369115829467773,,
2950,train,1783388498.0624,3.280724287033081,3.280724287033081,,
2960,train,1783388500.3721354,3.3341541290283203,3.3341541290283203,,
2970,train,1783388502.6823118,3.467888355255127,3.467888355255127,,
2980,train,1783388505.0662024,3.194770336151123,3.194770336151123,,
2990,train,1783388507.4060786,3.26959228515625,3.26959228515625,,
3000,train,1783388509.7709105,3.353949546813965,3.353949546813965,,
3010,train,1783388512.1427534,3.1435036659240723,3.1435036659240723,,
3020,train,1783388514.4868865,3.2405502796173096,3.2405502796173096,,
3030,train,1783388516.8160553,3.193260669708252,3.193260669708252,,
3040,train,1783388519.5894887,3.2639079093933105,3.2639079093933105,,
3050,train,1783388522.0196414,3.3295211791992188,3.3295211791992188,,
3060,train,1783388524.421425,3.237884521484375,3.237884521484375,,
3070,train,1783388526.7633164,3.322566509246826,3.322566509246826,,
3080,train,1783388529.0806422,3.364179849624634,3.364179849624634,,
3090,train,1783388531.4548807,3.1975414752960205,3.1975414752960205,,
3100,train,1783388533.8547676,3.29597544670105,3.29597544670105,,
3110,train,1783388536.1899133,3.2945878505706787,3.2945878505706787,,
3120,train,1783388538.5819721,3.3156795501708984,3.3156795501708984,,
3130,train,1783388540.9119267,3.3185627460479736,3.3185627460479736,,
3140,train,1783388543.644186,3.3847551345825195,3.3847551345825195,,
3150,train,1783388546.0510745,3.2815003395080566,3.2815003395080566,,
3160,train,1783388548.4241521,3.359710454940796,3.359710454940796,,
3170,train,1783388550.7876322,3.2296533584594727,3.2296533584594727,,
3180,train,1783388553.1357565,3.2224924564361572,3.2224924564361572,,
3190,train,1783388555.4960787,3.2607812881469727,3.2607812881469727,,
3200,train,1783388557.913923,3.334665536880493,3.334665536880493,,
3210,train,1783388560.3237975,3.3464698791503906,3.3464698791503906,,
3220,train,1783388562.677854,3.3255159854888916,3.3255159854888916,,
3230,train,1783388565.0267904,3.274489641189575,3.274489641189575,,
3240,train,1783388567.809017,3.2638657093048096,3.2638657093048096,,
3250,train,1783388570.1953506,3.213721513748169,3.213721513748169,,
3260,train,1783388572.5329912,3.360138177871704,3.360138177871704,,
3270,train,1783388574.9330485,3.376570224761963,3.376570224761963,,
3280,train,1783388577.2654169,3.2532336711883545,3.2532336711883545,,
3290,train,1783388579.632569,3.225775718688965,3.225775718688965,,
3300,train,1783388581.989714,3.4453275203704834,3.4453275203704834,,
3310,train,1783388584.3161957,3.221984624862671,3.221984624862671,,
3320,train,1783388586.6741037,3.330655574798584,3.330655574798584,,
3330,train,1783388589.0165608,3.276481866836548,3.276481866836548,,
3340,train,1783388591.7699,3.3272218704223633,3.3272218704223633,,
3350,train,1783388594.1873882,3.2449491024017334,3.2449491024017334,,
3360,train,1783388596.5105877,3.24611759185791,3.24611759185791,,
3370,train,1783388598.864116,3.344278573989868,3.344278573989868,,
3380,train,1783388601.2291384,3.3411099910736084,3.3411099910736084,,
3390,train,1783388603.5880153,3.449398994445801,3.449398994445801,,
3400,train,1783388606.0130646,3.2426791191101074,3.2426791191101074,,
3410,train,1783388608.3714604,3.3571977615356445,3.3571977615356445,,
3420,train,1783388610.747259,3.3015825748443604,3.3015825748443604,,
3430,train,1783388613.0040703,3.2414119243621826,3.2414119243621826,,
3440,train,1783388615.9813187,3.2546284198760986,3.2546284198760986,,
3450,train,1783388618.4235735,3.2954723834991455,3.2954723834991455,,
3460,train,1783388620.8226266,3.2868306636810303,3.2868306636810303,,
3470,train,1783388623.1959724,3.2827751636505127,3.2827751636505127,,
3480,train,1783388625.5780916,3.3472554683685303,3.3472554683685303,,
3490,train,1783388627.9045186,3.3330013751983643,3.3330013751983643,,
3500,train,1783388630.3012605,3.237582206726074,3.237582206726074,,
3510,train,1783388632.6893563,3.234222412109375,3.234222412109375,,
3520,train,1783388635.05925,3.320448398590088,3.320448398590088,,
3530,train,1783388637.8127546,3.2703933715820312,3.2703933715820312,,
3540,train,1783388640.1384606,3.2066125869750977,3.2066125869750977,,
3550,train,1783388642.5795977,3.195995330810547,3.195995330810547,,
3560,train,1783388644.9270124,3.260354995727539,3.260354995727539,,
3570,train,1783388647.323293,3.312086343765259,3.312086343765259,,
3580,train,1783388649.6820261,3.1696176528930664,3.1696176528930664,,
3590,train,1783388652.038075,3.2716662883758545,3.2716662883758545,,
3600,train,1783388654.438959,3.2209928035736084,3.2209928035736084,,
3610,train,1783388656.7973332,3.3187453746795654,3.3187453746795654,,
3620,train,1783388659.1469834,3.1637144088745117,3.1637144088745117,,
3630,train,1783388661.91924,3.265021562576294,3.265021562576294,,
3640,train,1783388664.2655923,3.268303632736206,3.268303632736206,,
3650,train,1783388666.6694515,3.311055898666382,3.311055898666382,,
3660,train,1783388669.0113924,3.20674991607666,3.20674991607666,,
3670,train,1783388671.3540149,3.238544225692749,3.238544225692749,,
3680,train,1783388673.6769876,3.1663742065429688,3.1663742065429688,,
3690,train,1783388676.0422955,3.2334070205688477,3.2334070205688477,,
3700,train,1783388678.4279943,3.2722244262695312,3.2722244262695312,,
3710,train,1783388680.8076496,3.0632946491241455,3.0632946491241455,,
3720,train,1783388683.1197908,3.2619948387145996,3.2619948387145996,,
3730,train,1783388685.8836699,3.265812873840332,3.265812873840332,,
3740,train,1783388688.2322447,3.345400810241699,3.345400810241699,,
3750,train,1783388690.6509738,3.2407639026641846,3.2407639026641846,,
3760,train,1783388692.9909153,3.3091964721679688,3.3091964721679688,,
3770,train,1783388695.331434,3.2416727542877197,3.2416727542877197,,
3780,train,1783388697.6527038,3.253570318222046,3.253570318222046,,
3790,train,1783388699.984399,3.251821756362915,3.251821756362915,,
3800,train,1783388702.337579,3.319030523300171,3.319030523300171,,
3810,train,1783388704.6581695,3.250485420227051,3.250485420227051,,
3820,train,1783388707.0062711,3.2268803119659424,3.2268803119659424,,
3830,train,1783388709.7735958,3.329840898513794,3.329840898513794,,
3840,train,1783388712.1724179,3.2142574787139893,3.2142574787139893,,
3850,train,1783388714.5804644,3.22812819480896,3.22812819480896,,
3860,train,1783388716.9462533,3.2738516330718994,3.2738516330718994,,
3870,train,1783388719.308387,3.1688644886016846,3.1688644886016846,,
3880,train,1783388721.6605358,3.242243766784668,3.242243766784668,,
3890,train,1783388723.9938476,3.331759214401245,3.331759214401245,,
3900,train,1783388726.374393,3.3026678562164307,3.3026678562164307,,
3910,train,1783388728.709433,3.2511372566223145,3.2511372566223145,,
3920,train,1783388730.9613056,3.304395914077759,3.304395914077759,,
3930,train,1783388733.8383892,3.332371950149536,3.332371950149536,,
3940,train,1783388736.2049,3.2431609630584717,3.2431609630584717,,
3950,train,1783388738.603087,3.1670749187469482,3.1670749187469482,,
3960,train,1783388740.950417,3.2638192176818848,3.2638192176818848,,
3970,train,1783388743.2429085,3.3155572414398193,3.3155572414398193,,
3980,train,1783388745.5959582,3.2522332668304443,3.2522332668304443,,
3990,train,1783388747.9675868,3.2155816555023193,3.2155816555023193,,
4000,train,1783388750.309319,3.2297863960266113,3.2297863960266113,,
4010,train,1783388752.6513987,3.203247547149658,3.203247547149658,,
4020,train,1783388755.3398488,3.317711353302002,3.317711353302002,,
4030,train,1783388757.699184,3.291637420654297,3.291637420654297,,
4040,train,1783388760.0305507,3.247999668121338,3.247999668121338,,
4050,train,1783388762.4157233,3.297922134399414,3.297922134399414,,
4060,train,1783388764.7603095,3.3172121047973633,3.3172121047973633,,
4070,train,1783388767.1298485,3.1883127689361572,3.1883127689361572,,
4080,train,1783388769.5163422,3.221989393234253,3.221989393234253,,
4090,train,1783388771.8412404,3.2996606826782227,3.2996606826782227,,
4100,train,1783388774.2365716,3.2471275329589844,3.2471275329589844,,
4110,train,1783388776.5436075,3.2810025215148926,3.2810025215148926,,
4120,train,1783388779.2275767,3.387146234512329,3.387146234512329,,
4130,train,1783388781.5905275,3.314511299133301,3.314511299133301,,
4140,train,1783388783.9592094,3.26928448677063,3.26928448677063,,
4150,train,1783388786.3578777,3.315861463546753,3.315861463546753,,
4160,train,1783388788.7139084,3.3496174812316895,3.3496174812316895,,
4170,train,1783388791.0268998,3.3566200733184814,3.3566200733184814,,
4180,train,1783388793.353866,3.3114097118377686,3.3114097118377686,,
4190,train,1783388795.7116504,3.2955820560455322,3.2955820560455322,,
4200,train,1783388798.0957153,3.238004446029663,3.238004446029663,,
4210,train,1783388800.4385226,3.163210153579712,3.163210153579712,,
4220,train,1783388803.2120202,3.198826313018799,3.198826313018799,,
4230,train,1783388805.6201057,3.1948299407958984,3.1948299407958984,,
4240,train,1783388807.946949,3.2010772228240967,3.2010772228240967,,
4250,train,1783388810.304624,3.2253928184509277,3.2253928184509277,,
